a,b,c,d,e,f,g,h,i,j
1,4,57.197,0.667,0.006,162.000,100.000,0.618,0.95,1000000
2,4,57.282,0.665,0.079,161.000,101.000,0.615,0.95,1000000
3,4,57.282,0.665,0.081,161.000,101.000,0.615,0.95,1000000
4,4,61.495,0.663,0.087,160.000,102.000,0.611,0.95,1000000
5,4,61.495,0.663,0.088,160.000,102.000,0.611,0.95,1000000
6,4,61.495,0.663,0.089,160.000,102.000,0.611,0.95,1000000
7,4,61.495,0.663,0.090,160.000,102.000,0.611,0.95,1000000
8,4,61.471,0.663,0.091,161.000,101.000,0.615,0.95,1000000
9,4,61.458,0.665,0.092,163.000,99.000,0.622,0.95,1000000
10,4,61.458,0.665,0.092,163.000,99.000,0.622,0.95,1000000
11,4,61.458,0.665,0.093,163.000,99.000,0.622,0.95,1000000
12,4,65.178,0.333,0.094,100.000,162.000,0.382,0.95,1000000
13,4,65.178,0.333,0.095,100.000,162.000,0.382,0.95,1000000
14,4,65.178,0.333,0.096,100.000,162.000,0.382,0.95,1000000
15,4,65.178,0.333,0.335,100.000,162.000,0.382,0.95,1000000
16,4,65.178,0.333,0.336,100.000,162.000,0.382,0.95,1000000
17,4,65.178,0.333,0.336,100.000,162.000,0.382,0.95,1000000
18,4,57.712,0.665,0.337,163.000,99.000,0.622,0.95,1000000
19,4,57.712,0.665,0.337,163.000,99.000,0.622,0.95,1000000
20,4,57.712,0.665,0.338,163.000,99.000,0.622,0.95,1000000
21,4,57.712,0.665,0.338,163.000,99.000,0.622,0.95,1000000
22,4,57.779,0.665,0.339,163.000,99.000,0.622,0.95,1000000
23,4,57.779,0.665,0.339,163.000,99.000,0.622,0.95,1000000
24,4,57.726,0.667,0.339,162.000,100.000,0.618,0.95,1000000
25,4,57.726,0.667,0.340,162.000,100.000,0.618,0.95,1000000
26,4,57.942,0.667,0.340,162.000,100.000,0.618,0.95,1000000
27,4,58.470,0.667,0.341,162.000,100.000,0.618,0.95,1000000
28,4,58.470,0.667,0.341,162.000,100.000,0.618,0.95,1000000
29,4,58.470,0.667,0.341,162.000,100.000,0.618,0.95,1000000
30,4,58.470,0.667,0.342,162.000,100.000,0.618,0.95,1000000
31,4,58.455,0.667,0.342,162.000,100.000,0.618,0.95,1000000
32,4,58.314,0.667,0.343,162.000,100.000,0.618,0.95,1000000
33,4,58.314,0.667,0.343,162.000,100.000,0.618,0.95,1000000
34,4,58.314,0.667,0.344,162.000,100.000,0.618,0.95,1000000
35,4,58.314,0.667,0.344,162.000,100.000,0.618,0.95,1000000
36,4,58.314,0.667,0.344,162.000,100.000,0.618,0.95,1000000
37,4,58.314,0.667,0.345,162.000,100.000,0.618,0.95,1000000
38,4,57.771,0.667,0.345,162.000,100.000,0.618,0.95,1000000
39,4,57.771,0.667,0.346,162.000,100.000,0.618,0.95,1000000
40,4,57.771,0.667,0.346,162.000,100.000,0.618,0.95,1000000
41,4,57.771,0.667,0.346,162.000,100.000,0.618,0.95,1000000
42,4,57.771,0.667,0.347,162.000,100.000,0.618,0.95,1000000
43,4,57.771,0.667,0.347,162.000,100.000,0.618,0.95,1000000
44,4,57.771,0.667,0.347,162.000,100.000,0.618,0.95,1000000
45,4,57.771,0.667,0.425,162.000,100.000,0.618,0.95,1000000
46,4,57.771,0.667,0.426,162.000,100.000,0.618,0.95,1000000
47,4,59.520,0.667,0.426,162.000,100.000,0.618,0.95,1000000
