a,b,c,d,e,f,g,h
90,8,0.106,0.702,25.150,171.000,91.000,0.653
91,8,0.107,0.692,25.151,166.000,96.000,0.634
92,8,0.107,0.696,25.152,169.000,93.000,0.645
93,8,0.107,0.667,25.152,162.000,100.000,0.618
94,8,0.109,0.690,25.153,163.000,99.000,0.622
95,8,0.108,0.702,25.658,170.000,92.000,0.649
96,8,0.106,0.688,25.659,168.000,94.000,0.641
97,8,0.106,0.702,25.660,171.000,91.000,0.653
98,8,0.106,0.690,25.660,168.000,94.000,0.641
99,8,0.106,0.700,25.661,171.000,91.000,0.653
100,8,0.106,0.688,25.662,168.000,94.000,0.641
1,6,0.162,0.333,0.003,100.000,162.000,0.382
2,6,0.156,0.333,0.006,100.000,162.000,0.382
3,6,0.151,0.333,0.009,100.000,162.000,0.382
4,6,0.146,0.333,0.014,100.000,162.000,0.382
5,6,0.142,0.333,2.938,100.000,162.000,0.382
6,6,0.139,0.333,6.671,100.000,162.000,0.382
7,6,0.135,0.333,12.451,100.000,162.000,0.382
8,6,0.132,0.333,13.308,100.000,162.000,0.382
9,6,0.130,0.333,16.921,100.000,162.000,0.382
10,6,0.128,0.333,17.721,100.000,162.000,0.382
11,6,0.126,0.659,17.724,158.000,104.000,0.603
12,6,0.124,0.661,17.727,159.000,103.000,0.607
13,6,0.122,0.661,17.729,159.000,103.000,0.607
14,6,0.121,0.661,17.732,159.000,103.000,0.607
15,6,0.120,0.661,19.289,159.000,103.000,0.607
16,6,0.119,0.661,19.581,159.000,103.000,0.607
17,6,0.118,0.661,19.585,159.000,103.000,0.607
18,6,0.117,0.661,19.588,159.000,103.000,0.607
19,6,0.116,0.661,19.591,159.000,103.000,0.607
20,6,0.116,0.661,19.592,158.000,104.000,0.603
21,6,0.115,0.661,19.593,158.000,104.000,0.603
22,6,0.114,0.661,19.594,158.000,104.000,0.603
23,6,0.114,0.661,19.595,158.000,104.000,0.603
24,6,0.114,0.661,19.596,158.000,104.000,0.603
25,6,0.113,0.661,19.597,158.000,104.000,0.603
26,6,0.113,0.661,19.597,158.000,104.000,0.603
27,6,0.113,0.661,19.599,158.000,104.000,0.603
28,6,0.113,0.661,19.599,158.000,104.000,0.603
29,6,0.112,0.661,19.600,158.000,104.000,0.603
30,6,0.112,0.661,19.601,158.000,104.000,0.603
31,6,0.112,0.665,20.465,158.000,104.000,0.603
32,6,0.112,0.665,21.126,158.000,104.000,0.603
33,6,0.112,0.665,21.127,158.000,104.000,0.603
34,6,0.112,0.665,21.128,158.000,104.000,0.603
35,6,0.111,0.665,21.129,158.000,104.000,0.603
36,6,0.111,0.665,21.130,158.000,104.000,0.603
37,6,0.111,0.665,21.131,158.000,104.000,0.603
38,6,0.111,0.665,21.132,158.000,104.000,0.603
39,6,0.111,0.665,21.133,158.000,104.000,0.603
40,6,0.111,0.665,21.137,158.000,104.000,0.603
41,6,0.111,0.665,21.138,158.000,104.000,0.603
42,6,0.111,0.665,21.140,158.000,104.000,0.603
43,6,0.111,0.665,22.686,158.000,104.000,0.603
44,6,0.111,0.665,22.687,158.000,104.000,0.603
45,6,0.111,0.665,22.687,158.000,104.000,0.603
46,6,0.111,0.665,22.688,158.000,104.000,0.603
47,6,0.111,0.665,22.689,158.000,104.000,0.603
48,6,0.111,0.665,22.690,158.000,104.000,0.603
49,6,0.111,0.665,22.691,158.000,104.000,0.603
50,6,0.111,0.665,22.692,158.000,104.000,0.603
51,6,0.111,0.665,22.693,158.000,104.000,0.603
52,6,0.111,0.667,22.693,157.000,105.000,0.599
53,6,0.111,0.667,22.694,162.000,100.000,0.618
54,6,0.111,0.667,22.695,162.000,100.000,0.618
55,6,0.111,0.667,22.696,162.000,100.000,0.618
56,6,0.111,0.667,22.891,162.000,100.000,0.618
57,6,0.111,0.667,22.892,162.000,100.000,0.618
58,6,0.111,0.667,22.893,162.000,100.000,0.618
59,6,0.111,0.667,22.893,162.000,100.000,0.618
60,6,0.111,0.667,22.894,162.000,100.000,0.618
61,6,0.111,0.667,26.263,162.000,100.000,0.618
62,6,0.111,0.667,26.264,162.000,100.000,0.618
63,6,0.111,0.667,26.264,162.000,100.000,0.618
64,6,0.111,0.667,26.265,162.000,100.000,0.618
65,6,0.111,0.667,26.266,162.000,100.000,0.618
66,6,0.111,0.667,26.267,162.000,100.000,0.618
67,6,0.111,0.667,26.267,162.000,100.000,0.618
68,6,0.111,0.667,26.268,162.000,100.000,0.618
69,6,0.111,0.667,26.269,162.000,100.000,0.618
70,6,0.111,0.667,26.269,162.000,100.000,0.618
71,6,0.111,0.667,26.270,162.000,100.000,0.618
72,6,0.111,0.667,26.271,162.000,100.000,0.618
73,6,0.111,0.667,26.271,162.000,100.000,0.618
74,6,0.111,0.667,32.049,162.000,100.000,0.618
75,6,0.111,0.667,32.049,162.000,100.000,0.618
76,6,0.111,0.667,32.050,162.000,100.000,0.618
77,6,0.111,0.667,32.051,162.000,100.000,0.618
78,6,0.111,0.667,32.052,162.000,100.000,0.618
79,6,0.111,0.667,32.052,162.000,100.000,0.618
80,6,0.111,0.667,32.053,162.000,100.000,0.618
81,6,0.111,0.667,32.054,162.000,100.000,0.618
82,6,0.111,0.667,32.056,162.000,100.000,0.618
83,6,0.111,0.667,32.057,162.000,100.000,0.618
84,6,0.111,0.667,32.058,162.000,100.000,0.618
85,6,0.111,0.667,32.059,162.000,100.000,0.618
86,6,0.111,0.667,32.059,162.000,100.000,0.618
87,6,0.111,0.667,32.060,162.000,100.000,0.618
88,6,0.111,0.667,32.061,162.000,100.000,0.618
89,6,0.111,0.667,32.061,162.000,100.000,0.618
90,6,0.111,0.667,32.062,162.000,100.000,0.618
91,6,0.111,0.667,32.063,162.000,100.000,0.618
92,6,0.111,0.667,32.064,162.000,100.000,0.618
93,6,0.111,0.667,32.064,162.000,100.000,0.618
94,6,0.111,0.667,32.065,162.000,100.000,0.618
95,6,0.111,0.667,32.066,162.000,100.000,0.618
96,6,0.111,0.667,32.067,162.000,100.000,0.618
97,6,0.111,0.667,32.067,162.000,100.000,0.618
98,6,0.111,0.667,32.068,162.000,100.000,0.618
99,6,0.111,0.667,32.069,162.000,100.000,0.618
100,6,0.111,0.667,32.069,162.000,100.000,0.618
1,4,0.204,0.327,0.366,102.000,160.000,0.389
2,4,0.190,0.325,0.369,100.000,162.000,0.382
3,4,0.178,0.327,0.372,101.000,161.000,0.385
4,4,0.167,0.327,0.375,101.000,161.000,0.385
5,4,0.156,0.327,0.378,101.000,161.000,0.385
6,4,0.151,0.329,0.381,102.000,160.000,0.389
7,4,0.145,0.331,0.384,102.000,160.000,0.389
8,4,0.139,0.331,0.386,102.000,160.000,0.389
9,4,0.135,0.331,0.674,102.000,160.000,0.389
10,4,0.132,0.327,0.676,100.000,162.000,0.382
11,4,0.130,0.659,0.679,159.000,103.000,0.607
12,4,0.128,0.659,0.682,157.000,105.000,0.599
13,4,0.126,0.661,2.280,156.000,106.000,0.595
14,4,0.124,0.661,2.284,158.000,104.000,0.603
15,4,0.122,0.669,2.287,157.000,105.000,0.599
16,4,0.119,0.663,2.289,158.000,104.000,0.603
17,4,0.119,0.663,2.292,157.000,105.000,0.599
18,4,0.118,0.669,6.842,161.000,101.000,0.615
19,4,0.116,0.665,6.845,159.000,103.000,0.607
20,4,0.115,0.665,6.846,158.000,104.000,0.603
21,4,0.114,0.669,6.847,157.000,105.000,0.599
22,4,0.113,0.663,6.848,158.000,104.000,0.603
23,4,0.113,0.665,6.849,156.000,106.000,0.595
24,4,0.112,0.665,6.850,161.000,101.000,0.615
25,4,0.111,0.667,6.851,161.000,101.000,0.615
26,4,0.110,0.663,6.852,162.000,100.000,0.618
27,4,0.110,0.663,6.853,161.000,101.000,0.615
28,4,0.110,0.665,6.854,162.000,100.000,0.618
29,4,0.109,0.663,6.855,162.000,100.000,0.618
30,4,0.109,0.667,6.856,162.000,100.000,0.618
31,4,0.108,0.669,6.856,163.000,99.000,0.622
32,4,0.108,0.667,6.857,162.000,100.000,0.618
33,4,0.108,0.665,8.944,163.000,99.000,0.622
34,4,0.107,0.667,8.945,162.000,100.000,0.618
35,4,0.107,0.667,14.739,162.000,100.000,0.618
36,4,0.107,0.667,14.740,162.000,100.000,0.618
37,4,0.107,0.671,14.741,162.000,100.000,0.618
38,4,0.107,0.673,14.742,164.000,98.000,0.626
39,4,0.106,0.671,14.743,162.000,100.000,0.618
40,4,0.106,0.692,16.827,162.000,100.000,0.618
41,4,0.106,0.686,16.828,164.000,98.000,0.626
42,4,0.106,0.688,16.829,164.000,98.000,0.626
43,4,0.106,0.690,16.830,161.000,101.000,0.615
44,4,0.106,0.686,16.830,164.000,98.000,0.626
45,4,0.106,0.688,16.831,161.000,101.000,0.615
46,4,0.106,0.684,16.832,163.000,99.000,0.622
47,4,0.106,0.690,16.834,162.000,100.000,0.618
48,4,0.105,0.690,16.835,162.000,100.000,0.618
49,4,0.106,0.690,16.835,162.000,100.000,0.618
50,4,0.105,0.690,16.836,162.000,100.000,0.618
51,4,0.105,0.690,16.837,164.000,98.000,0.626
52,4,0.105,0.690,16.838,161.000,101.000,0.615
53,4,0.105,0.692,16.838,163.000,99.000,0.622
54,4,0.105,0.684,16.839,164.000,98.000,0.626
55,4,0.105,0.688,16.840,165.000,97.000,0.630
56,4,0.105,0.692,16.840,161.000,101.000,0.615
57,4,0.105,0.688,16.841,162.000,100.000,0.618
58,4,0.105,0.680,16.842,163.000,99.000,0.622
59,4,0.105,0.688,16.843,164.000,98.000,0.626
60,4,0.105,0.690,16.843,166.000,96.000,0.634
61,4,0.105,0.690,16.844,162.000,100.000,0.618
62,4,0.105,0.682,16.845,164.000,98.000,0.626
63,4,0.106,0.688,16.845,163.000,99.000,0.622
64,4,0.105,0.684,16.846,164.000,98.000,0.626
65,4,0.105,0.694,16.847,162.000,100.000,0.618
66,4,0.105,0.682,16.847,163.000,99.000,0.622
67,4,0.105,0.686,16.848,164.000,98.000,0.626
68,4,0.105,0.688,24.136,162.000,100.000,0.618
69,4,0.105,0.694,24.136,163.000,99.000,0.622
70,4,0.105,0.680,24.137,163.000,99.000,0.622
71,4,0.105,0.686,24.138,164.000,98.000,0.626
72,4,0.105,0.692,24.138,163.000,99.000,0.622
73,4,0.105,0.688,24.139,164.000,98.000,0.626
74,4,0.104,0.692,24.140,163.000,99.000,0.622
75,4,0.105,0.686,24.140,165.000,97.000,0.630
76,4,0.105,0.692,24.141,162.000,100.000,0.618
77,4,0.105,0.690,24.142,165.000,97.000,0.630
78,4,0.104,0.684,24.142,165.000,97.000,0.630
79,4,0.105,0.692,24.143,163.000,99.000,0.622
80,4,0.105,0.680,24.144,163.000,99.000,0.622
81,4,0.105,0.690,24.144,164.000,98.000,0.626
82,4,0.104,0.688,24.145,164.000,98.000,0.626
83,4,0.104,0.686,24.146,166.000,96.000,0.634
84,4,0.105,0.694,24.146,163.000,99.000,0.622
85,4,0.104,0.680,24.147,163.000,99.000,0.622
86,4,0.105,0.686,24.148,164.000,98.000,0.626
87,4,0.105,0.692,24.148,163.000,99.000,0.622
88,4,0.105,0.682,24.149,164.000,98.000,0.626
89,4,0.105,0.692,24.150,163.000,99.000,0.622
90,4,0.104,0.680,24.151,163.000,99.000,0.622
91,4,0.105,0.686,24.152,165.000,97.000,0.630
92,4,0.105,0.690,24.152,162.000,100.000,0.618
93,4,0.105,0.682,24.153,164.000,98.000,0.626
94,4,0.105,0.690,24.154,163.000,99.000,0.622
95,4,0.104,0.692,24.154,164.000,98.000,0.626
96,4,0.104,0.688,24.155,164.000,98.000,0.626
97,4,0.105,0.690,24.156,163.000,99.000,0.622
98,4,0.105,0.688,24.157,164.000,98.000,0.626
99,4,0.105,0.690,24.157,163.000,99.000,0.622
100,4,0.105,0.688,24.158,164.000,98.000,0.626
1,2,0.198,0.428,0.451,108.000,154.000,0.412
2,2,0.179,0.464,0.454,115.000,147.000,0.439
3,2,0.170,0.485,0.458,121.000,141.000,0.462
4,2,0.160,0.515,0.461,128.000,134.000,0.489
5,2,0.147,0.560,0.465,138.000,124.000,0.527
6,2,0.136,0.566,0.468,139.000,123.000,0.531
7,2,0.131,0.588,0.470,137.000,125.000,0.523
8,2,0.128,0.596,0.473,139.000,123.000,0.531
9,2,0.127,0.600,6.087,141.000,121.000,0.538
10,2,0.126,0.611,6.090,142.000,120.000,0.542
11,2,0.123,0.617,6.093,142.000,120.000,0.542
12,2,0.123,0.617,6.095,142.000,120.000,0.542
13,2,0.123,0.621,6.098,146.000,116.000,0.557
14,2,0.120,0.643,12.033,142.000,120.000,0.542
15,2,0.117,0.643,12.035,143.000,119.000,0.546
16,2,0.117,0.643,12.036,143.000,119.000,0.546
17,2,0.117,0.643,12.037,143.000,119.000,0.546
18,2,0.117,0.643,12.038,143.000,119.000,0.546
19,2,0.116,0.643,12.039,143.000,119.000,0.546
20,2,0.116,0.645,12.040,143.000,119.000,0.546
21,2,0.116,0.643,12.041,143.000,119.000,0.546
22,2,0.116,0.643,12.042,143.000,119.000,0.546
23,2,0.116,0.643,12.043,143.000,119.000,0.546
24,2,0.116,0.645,12.044,143.000,119.000,0.546
25,2,0.116,0.643,12.045,143.000,119.000,0.546
26,2,0.116,0.643,12.046,143.000,119.000,0.546
27,2,0.116,0.643,12.047,143.000,119.000,0.546
28,2,0.116,0.643,12.047,143.000,119.000,0.546
29,2,0.116,0.643,14.142,143.000,119.000,0.546
30,2,0.115,0.643,14.143,142.000,120.000,0.542
31,2,0.115,0.643,18.868,142.000,120.000,0.542
32,2,0.115,0.643,18.869,142.000,120.000,0.542
33,2,0.115,0.643,18.870,142.000,120.000,0.542
34,2,0.115,0.645,18.871,142.000,120.000,0.542
35,2,0.115,0.643,18.872,142.000,120.000,0.542
36,2,0.115,0.643,18.873,142.000,120.000,0.542
37,2,0.115,0.643,18.873,142.000,120.000,0.542
38,2,0.115,0.643,18.874,142.000,120.000,0.542
39,2,0.115,0.643,18.875,142.000,120.000,0.542
40,2,0.115,0.643,18.876,142.000,120.000,0.542
41,2,0.115,0.643,18.876,142.000,120.000,0.542
42,2,0.115,0.643,18.877,142.000,120.000,0.542
43,2,0.115,0.643,18.878,142.000,120.000,0.542
44,2,0.115,0.643,18.879,142.000,120.000,0.542
45,2,0.115,0.643,18.880,142.000,120.000,0.542
46,2,0.115,0.643,18.880,142.000,120.000,0.542
47,2,0.114,0.643,18.881,142.000,120.000,0.542
48,2,0.114,0.643,23.893,142.000,120.000,0.542
49,2,0.114,0.643,23.894,142.000,120.000,0.542
50,2,0.114,0.643,23.895,142.000,120.000,0.542
51,2,0.114,0.643,23.895,142.000,120.000,0.542
52,2,0.114,0.643,23.896,142.000,120.000,0.542
53,2,0.114,0.643,23.897,142.000,120.000,0.542
54,2,0.114,0.643,23.898,142.000,120.000,0.542
55,2,0.114,0.643,23.898,142.000,120.000,0.542
56,2,0.114,0.643,23.899,142.000,120.000,0.542
57,2,0.114,0.643,23.900,142.000,120.000,0.542
58,2,0.114,0.643,23.900,142.000,120.000,0.542
59,2,0.114,0.645,23.901,142.000,120.000,0.542
60,2,0.114,0.643,23.902,142.000,120.000,0.542
61,2,0.114,0.643,26.509,142.000,120.000,0.542
62,2,0.114,0.643,26.509,142.000,120.000,0.542
63,2,0.114,0.645,26.510,143.000,119.000,0.546
64,2,0.114,0.643,26.511,143.000,119.000,0.546
65,2,0.114,0.643,26.511,143.000,119.000,0.546
66,2,0.114,0.645,26.512,144.000,118.000,0.550
67,2,0.114,0.643,26.513,144.000,118.000,0.550
68,2,0.114,0.643,26.513,144.000,118.000,0.550
69,2,0.114,0.643,26.514,144.000,118.000,0.550
70,2,0.114,0.643,26.515,144.000,118.000,0.550
71,2,0.113,0.643,26.516,144.000,118.000,0.550
72,2,0.113,0.643,26.516,144.000,118.000,0.550
73,2,0.113,0.643,26.517,144.000,118.000,0.550
74,2,0.113,0.645,26.518,144.000,118.000,0.550
75,2,0.113,0.643,26.518,144.000,118.000,0.550
76,2,0.113,0.643,26.520,144.000,118.000,0.550
77,2,0.113,0.645,26.521,144.000,118.000,0.550
78,2,0.113,0.645,26.521,144.000,118.000,0.550
79,2,0.113,0.645,27.471,144.000,118.000,0.550
80,2,0.113,0.645,27.472,144.000,118.000,0.550
81,2,0.113,0.645,27.472,144.000,118.000,0.550
82,2,0.113,0.645,27.473,144.000,118.000,0.550
83,2,0.113,0.645,27.474,144.000,118.000,0.550
84,2,0.113,0.645,27.474,144.000,118.000,0.550
85,2,0.113,0.645,27.475,144.000,118.000,0.550
86,2,0.113,0.645,27.476,144.000,118.000,0.550
87,2,0.113,0.645,27.476,144.000,118.000,0.550
88,2,0.113,0.645,27.477,144.000,118.000,0.550
89,2,0.113,0.645,27.478,144.000,118.000,0.550
90,2,0.113,0.645,27.479,144.000,118.000,0.550
91,2,0.113,0.647,27.479,144.000,118.000,0.550
92,2,0.113,0.645,27.578,144.000,118.000,0.550
93,2,0.113,0.645,27.579,144.000,118.000,0.550
94,2,0.113,0.645,27.579,144.000,118.000,0.550
95,2,0.113,0.645,27.580,144.000,118.000,0.550
96,2,0.113,0.645,27.712,144.000,118.000,0.550
97,2,0.113,0.645,27.713,144.000,118.000,0.550
98,2,0.113,0.645,27.714,144.000,118.000,0.550
99,2,0.113,0.645,27.715,144.000,118.000,0.550
100,2,0.113,0.645,27.716,144.000,118.000,0.550
1,10,0.138,0.535,0.003,136.000,126.000,0.519
2,10,0.132,0.536,4.337,134.000,128.000,0.511
3,10,0.131,0.536,5.490,134.000,128.000,0.511
4,10,0.130,0.536,9.563,134.000,128.000,0.511
5,10,0.129,0.536,10.938,133.000,129.000,0.508
6,10,0.128,0.538,10.941,133.000,129.000,0.508
7,10,0.127,0.538,10.943,133.000,129.000,0.508
8,10,0.126,0.538,10.949,133.000,129.000,0.508
9,10,0.125,0.538,10.952,133.000,129.000,0.508
10,10,0.124,0.538,13.537,133.000,129.000,0.508
11,10,0.123,0.538,18.920,133.000,129.000,0.508
12,10,0.123,0.538,18.922,133.000,129.000,0.508
13,10,0.122,0.538,18.925,134.000,128.000,0.511
14,10,0.121,0.538,18.928,134.000,128.000,0.511
15,10,0.121,0.540,22.108,136.000,126.000,0.519
16,10,0.120,0.540,22.111,136.000,126.000,0.519
17,10,0.120,0.540,22.112,136.000,126.000,0.519
18,10,0.119,0.540,22.113,136.000,126.000,0.519
19,10,0.119,0.540,22.114,136.000,126.000,0.519
20,10,0.118,0.540,22.115,136.000,126.000,0.519
21,10,0.118,0.540,22.115,136.000,126.000,0.519
22,10,0.117,0.540,23.279,136.000,126.000,0.519
23,10,0.116,0.540,23.280,136.000,126.000,0.519
24,10,0.116,0.538,23.281,136.000,126.000,0.519
25,10,0.116,0.538,23.282,136.000,126.000,0.519
26,10,0.116,0.538,23.283,137.000,125.000,0.523
27,10,0.115,0.538,23.284,137.000,125.000,0.523
28,10,0.115,0.538,23.284,136.000,126.000,0.519
29,10,0.115,0.540,24.453,136.000,126.000,0.519
30,10,0.114,0.680,27.337,153.000,109.000,0.584
31,10,0.114,0.680,27.338,153.000,109.000,0.584
32,10,0.114,0.680,27.338,153.000,109.000,0.584
33,10,0.114,0.680,27.339,153.000,109.000,0.584
34,10,0.114,0.682,27.340,153.000,109.000,0.584
35,10,0.113,0.682,27.341,153.000,109.000,0.584
36,10,0.113,0.684,27.341,154.000,108.000,0.588
37,10,0.113,0.684,27.970,154.000,108.000,0.588
38,10,0.113,0.684,27.970,154.000,108.000,0.588
39,10,0.113,0.684,27.971,154.000,108.000,0.588
40,10,0.113,0.684,27.972,154.000,108.000,0.588
41,10,0.112,0.684,27.973,154.000,108.000,0.588
42,10,0.112,0.684,27.974,154.000,108.000,0.588
43,10,0.112,0.684,27.975,154.000,108.000,0.588
44,10,0.112,0.684,32.975,154.000,108.000,0.588
45,10,0.112,0.684,32.976,154.000,108.000,0.588
46,10,0.112,0.684,32.976,154.000,108.000,0.588
47,10,0.112,0.684,32.977,154.000,108.000,0.588
48,10,0.112,0.684,32.978,154.000,108.000,0.588
49,10,0.112,0.684,32.978,154.000,108.000,0.588
50,10,0.111,0.684,32.979,154.000,108.000,0.588
51,10,0.111,0.684,32.980,154.000,108.000,0.588
52,10,0.111,0.684,32.980,154.000,108.000,0.588
53,10,0.111,0.684,32.981,154.000,108.000,0.588
54,10,0.111,0.684,32.982,154.000,108.000,0.588
55,10,0.111,0.684,32.983,154.000,108.000,0.588
56,10,0.111,0.684,32.983,154.000,108.000,0.588
57,10,0.111,0.684,32.984,154.000,108.000,0.588
58,10,0.111,0.684,32.985,154.000,108.000,0.588
59,10,0.111,0.684,32.985,154.000,108.000,0.588
60,10,0.111,0.684,32.986,154.000,108.000,0.588
61,10,0.111,0.684,32.987,154.000,108.000,0.588
62,10,0.110,0.684,32.987,154.000,108.000,0.588
63,10,0.110,0.684,32.988,154.000,108.000,0.588
64,10,0.110,0.684,32.989,154.000,108.000,0.588
65,10,0.110,0.684,32.989,154.000,108.000,0.588
66,10,0.110,0.684,34.256,154.000,108.000,0.588
67,10,0.110,0.684,34.256,154.000,108.000,0.588
68,10,0.110,0.684,34.257,154.000,108.000,0.588
69,10,0.110,0.684,34.258,154.000,108.000,0.588
70,10,0.110,0.684,34.258,154.000,108.000,0.588
71,10,0.110,0.684,34.259,154.000,108.000,0.588
72,10,0.110,0.684,34.260,154.000,108.000,0.588
73,10,0.110,0.684,34.260,154.000,108.000,0.588
74,10,0.110,0.684,34.261,154.000,108.000,0.588
75,10,0.110,0.684,34.262,154.000,108.000,0.588
76,10,0.110,0.684,34.263,154.000,108.000,0.588
77,10,0.110,0.684,34.263,154.000,108.000,0.588
78,10,0.110,0.684,34.264,154.000,108.000,0.588
79,10,0.110,0.684,34.662,154.000,108.000,0.588
80,10,0.110,0.684,34.663,154.000,108.000,0.588
81,10,0.110,0.684,34.664,154.000,108.000,0.588
82,10,0.110,0.684,34.664,154.000,108.000,0.588
83,10,0.109,0.684,34.665,154.000,108.000,0.588
84,10,0.109,0.684,34.666,154.000,108.000,0.588
85,10,0.109,0.684,34.666,154.000,108.000,0.588
86,10,0.109,0.684,34.667,154.000,108.000,0.588
87,10,0.109,0.684,34.668,154.000,108.000,0.588
88,10,0.109,0.684,34.668,154.000,108.000,0.588
89,10,0.109,0.684,34.669,154.000,108.000,0.588
90,10,0.109,0.684,34.670,154.000,108.000,0.588
91,10,0.109,0.684,34.671,154.000,108.000,0.588
92,10,0.109,0.684,34.671,154.000,108.000,0.588
93,10,0.109,0.684,34.672,154.000,108.000,0.588
94,10,0.109,0.684,34.673,154.000,108.000,0.588
95,10,0.109,0.684,34.674,154.000,108.000,0.588
96,10,0.109,0.684,34.675,154.000,108.000,0.588
97,10,0.109,0.684,34.682,154.000,108.000,0.588
98,10,0.109,0.684,34.683,154.000,108.000,0.588
99,10,0.109,0.684,34.684,154.000,108.000,0.588
100,10,0.109,0.684,34.684,154.000,108.000,0.588
1,9,0.128,0.653,0.003,155.000,107.000,0.592
2,9,0.124,0.661,0.006,159.000,103.000,0.607
3,9,0.120,0.667,1.217,161.000,101.000,0.615
4,9,0.119,0.671,2.608,160.000,102.000,0.611
5,9,0.116,0.667,8.251,157.000,105.000,0.599
6,9,0.115,0.675,8.254,159.000,103.000,0.607
7,9,0.113,0.682,8.257,158.000,104.000,0.603
8,9,0.113,0.675,8.260,158.000,104.000,0.603
9,9,0.112,0.682,8.264,161.000,101.000,0.615
10,9,0.112,0.684,8.267,159.000,103.000,0.607
11,9,0.111,0.686,10.963,161.000,101.000,0.615
12,9,0.111,0.684,16.084,158.000,104.000,0.603
13,9,0.110,0.686,16.087,159.000,103.000,0.607
14,9,0.110,0.682,16.089,158.000,104.000,0.603
15,9,0.109,0.684,16.092,160.000,102.000,0.611
16,9,0.109,0.675,17.351,158.000,104.000,0.603
17,9,0.109,0.682,17.352,160.000,102.000,0.611
18,9,0.109,0.680,17.353,159.000,103.000,0.607
19,9,0.108,0.682,17.354,161.000,101.000,0.615
20,9,0.108,0.682,17.355,159.000,103.000,0.607
21,9,0.108,0.680,17.356,161.000,101.000,0.615
22,9,0.108,0.682,17.357,158.000,104.000,0.603
23,9,0.108,0.684,17.358,160.000,102.000,0.611
24,9,0.107,0.679,17.359,158.000,104.000,0.603
25,9,0.107,0.684,17.360,161.000,101.000,0.615
26,9,0.107,0.680,17.360,159.000,103.000,0.607
27,9,0.107,0.680,17.361,160.000,102.000,0.611
28,9,0.107,0.682,17.362,159.000,103.000,0.607
29,9,0.107,0.682,17.363,162.000,100.000,0.618
30,9,0.107,0.679,17.364,159.000,103.000,0.607
31,9,0.107,0.684,17.365,161.000,101.000,0.615
32,9,0.107,0.679,17.366,159.000,103.000,0.607
33,9,0.107,0.682,17.367,160.000,102.000,0.611
34,9,0.106,0.682,19.447,159.000,103.000,0.607
35,9,0.106,0.682,22.622,162.000,100.000,0.618
36,9,0.107,0.680,22.623,159.000,103.000,0.607
37,9,0.106,0.684,22.624,160.000,102.000,0.611
38,9,0.106,0.682,22.625,158.000,104.000,0.603
39,9,0.106,0.686,24.168,160.000,102.000,0.611
40,9,0.106,0.684,24.169,158.000,104.000,0.603
41,9,0.106,0.684,24.169,160.000,102.000,0.611
42,9,0.106,0.682,24.170,159.000,103.000,0.607
43,9,0.106,0.684,24.171,162.000,100.000,0.618
44,9,0.106,0.679,24.172,158.000,104.000,0.603
45,9,0.106,0.684,24.172,161.000,101.000,0.615
46,9,0.106,0.680,24.173,160.000,102.000,0.611
47,9,0.106,0.680,24.174,160.000,102.000,0.611
48,9,0.106,0.682,24.174,158.000,104.000,0.603
49,9,0.106,0.684,24.175,163.000,99.000,0.622
50,9,0.106,0.684,24.176,157.000,105.000,0.599
51,9,0.106,0.688,24.176,162.000,100.000,0.618
52,9,0.106,0.680,24.177,161.000,101.000,0.615
53,9,0.106,0.684,24.178,163.000,99.000,0.622
54,9,0.106,0.682,24.178,160.000,102.000,0.611
55,9,0.106,0.684,24.179,163.000,99.000,0.622
56,9,0.106,0.684,25.862,161.000,101.000,0.615
57,9,0.106,0.684,25.863,161.000,101.000,0.615
58,9,0.106,0.682,25.863,161.000,101.000,0.615
59,9,0.106,0.686,25.864,162.000,100.000,0.618
60,9,0.106,0.682,25.865,161.000,101.000,0.615
61,9,0.106,0.688,25.865,162.000,100.000,0.618
62,9,0.106,0.684,25.866,160.000,102.000,0.611
63,9,0.106,0.684,25.867,162.000,100.000,0.618
64,9,0.106,0.686,25.867,161.000,101.000,0.615
65,9,0.106,0.686,25.868,161.000,101.000,0.615
66,9,0.106,0.684,25.869,161.000,101.000,0.615
67,9,0.106,0.682,25.869,164.000,98.000,0.626
68,9,0.106,0.682,25.870,159.000,103.000,0.607
69,9,0.106,0.684,27.991,159.000,103.000,0.607
70,9,0.106,0.679,27.992,165.000,97.000,0.630
71,9,0.106,0.684,27.992,163.000,99.000,0.622
72,9,0.106,0.682,27.993,161.000,101.000,0.615
73,9,0.106,0.682,27.994,163.000,99.000,0.622
74,9,0.106,0.684,27.994,162.000,100.000,0.618
75,9,0.106,0.684,27.995,164.000,98.000,0.626
76,9,0.106,0.684,27.996,163.000,99.000,0.622
77,9,0.106,0.684,27.996,163.000,99.000,0.622
78,9,0.106,0.684,27.997,162.000,100.000,0.618
79,9,0.106,0.682,27.998,164.000,98.000,0.626
80,9,0.106,0.679,27.999,161.000,101.000,0.615
81,9,0.106,0.682,28.000,158.000,104.000,0.603
82,9,0.106,0.684,28.000,163.000,99.000,0.622
83,9,0.106,0.684,28.001,162.000,100.000,0.618
84,9,0.106,0.682,28.002,164.000,98.000,0.626
85,9,0.106,0.679,28.002,159.000,103.000,0.607
86,9,0.106,0.680,28.003,159.000,103.000,0.607
87,9,0.106,0.680,28.004,162.000,100.000,0.618
88,9,0.106,0.684,28.004,159.000,103.000,0.607
