a,b,c,d,e,f,g,h,i,j
1,1,60.676,0.562,0.020,129.000,133.000,0.492,0.95,100
2,1,60.847,0.562,0.022,128.000,134.000,0.489,0.95,100
3,1,60.847,0.562,0.023,128.000,134.000,0.489,0.95,100
4,1,60.834,0.562,0.023,128.000,134.000,0.489,0.95,100
5,1,64.377,0.562,0.206,131.000,131.000,0.500,0.95,100
6,1,63.900,0.568,0.206,133.000,129.000,0.508,0.95,100
7,1,64.040,0.568,0.207,133.000,129.000,0.508,0.95,100
8,1,64.015,0.568,0.208,133.000,129.000,0.508,0.95,100
9,1,64.015,0.568,0.208,133.000,129.000,0.508,0.95,100
10,1,64.015,0.568,0.209,133.000,129.000,0.508,0.95,100
11,1,58.567,0.639,0.210,154.000,108.000,0.588,0.95,100
12,1,58.630,0.639,0.210,154.000,108.000,0.588,0.95,100
13,1,58.283,0.637,0.211,150.000,112.000,0.573,0.95,100
14,1,56.433,0.645,0.212,149.000,113.000,0.569,0.95,100
15,1,56.434,0.645,0.212,149.000,113.000,0.569,0.95,100
16,1,56.434,0.645,0.213,149.000,113.000,0.569,0.95,100
17,1,56.125,0.649,0.213,150.000,112.000,0.573,0.95,100
18,1,56.125,0.649,0.214,150.000,112.000,0.573,0.95,100
19,1,56.097,0.645,0.215,149.000,113.000,0.569,0.95,100
20,1,56.548,0.667,0.215,159.000,103.000,0.607,0.95,100
21,1,56.453,0.647,0.216,152.000,110.000,0.580,0.95,100
22,1,57.167,0.619,0.216,155.000,107.000,0.592,0.95,100
23,1,57.167,0.619,0.217,155.000,107.000,0.592,0.95,100
24,1,57.167,0.619,0.218,155.000,107.000,0.592,0.95,100
25,1,57.167,0.619,0.218,155.000,107.000,0.592,0.95,100
26,1,55.494,0.671,0.219,155.000,107.000,0.592,0.95,100
27,1,55.876,0.671,0.219,155.000,107.000,0.592,0.95,100
28,1,55.656,0.679,0.220,157.000,105.000,0.599,0.95,100
29,1,55.656,0.679,0.222,157.000,105.000,0.599,0.95,100
30,1,55.647,0.680,0.222,157.000,105.000,0.599,0.95,100
31,1,56.811,0.667,0.223,162.000,100.000,0.618,0.95,100
32,1,56.689,0.667,0.223,162.000,100.000,0.618,0.95,100
33,1,61.101,0.667,0.493,162.000,100.000,0.618,0.95,100
34,1,61.099,0.667,0.494,162.000,100.000,0.618,0.95,100
35,1,61.081,0.667,0.494,162.000,100.000,0.618,0.95,100
36,1,61.081,0.667,0.495,162.000,100.000,0.618,0.95,100
37,1,61.270,0.667,0.495,162.000,100.000,0.618,0.95,100
38,1,61.270,0.667,0.496,162.000,100.000,0.618,0.95,100
39,1,61.270,0.667,0.496,162.000,100.000,0.618,0.95,100
40,1,61.190,0.667,0.497,162.000,100.000,0.618,0.95,100
41,1,59.256,0.667,0.497,162.000,100.000,0.618,0.95,100
42,1,59.256,0.667,0.497,162.000,100.000,0.618,0.95,100
43,1,59.256,0.667,0.498,162.000,100.000,0.618,0.95,100
44,1,59.488,0.667,0.498,162.000,100.000,0.618,0.95,100
45,1,59.388,0.667,0.499,162.000,100.000,0.618,0.95,100
46,1,59.388,0.667,0.499,162.000,100.000,0.618,0.95,100
47,1,58.909,0.667,0.500,162.000,100.000,0.618,0.95,100
48,1,58.909,0.667,0.500,162.000,100.000,0.618,0.95,100
49,1,58.853,0.667,0.501,162.000,100.000,0.618,0.95,100
50,1,58.838,0.667,0.501,162.000,100.000,0.618,0.95,100
51,1,58.709,0.667,0.502,162.000,100.000,0.618,0.95,100
52,1,58.709,0.667,0.502,162.000,100.000,0.618,0.95,100
53,1,58.152,0.667,0.502,162.000,100.000,0.618,0.95,100
54,1,58.245,0.667,0.540,162.000,100.000,0.618,0.95,100
55,1,58.279,0.667,0.540,162.000,100.000,0.618,0.95,100
56,1,58.279,0.667,0.541,162.000,100.000,0.618,0.95,100
57,1,58.293,0.667,0.541,162.000,100.000,0.618,0.95,100
58,1,58.293,0.667,0.541,162.000,100.000,0.618,0.95,100
59,1,58.293,0.667,0.542,162.000,100.000,0.618,0.95,100
60,1,58.293,0.667,0.542,162.000,100.000,0.618,0.95,100
61,1,57.702,0.667,0.543,162.000,100.000,0.618,0.95,100
62,1,60.001,0.667,0.543,162.000,100.000,0.618,0.95,100
63,1,60.000,0.667,0.544,162.000,100.000,0.618,0.95,100
64,1,59.949,0.667,0.544,162.000,100.000,0.618,0.95,100
65,1,59.965,0.667,0.545,162.000,100.000,0.618,0.95,100
66,1,59.965,0.667,0.546,162.000,100.000,0.618,0.95,100
67,1,59.965,0.667,0.546,162.000,100.000,0.618,0.95,100
68,1,59.709,0.667,0.546,162.000,100.000,0.618,0.95,100
69,1,59.391,0.667,0.547,162.000,100.000,0.618,0.95,100
70,1,59.543,0.667,0.547,162.000,100.000,0.618,0.95,100
71,1,59.311,0.667,0.548,162.000,100.000,0.618,0.95,100
72,1,59.311,0.667,0.549,162.000,100.000,0.618,0.95,100
73,1,59.311,0.667,0.549,162.000,100.000,0.618,0.95,100
74,1,57.001,0.667,0.549,162.000,100.000,0.618,0.95,100
75,1,57.001,0.667,0.550,162.000,100.000,0.618,0.95,100
76,1,57.001,0.667,0.550,162.000,100.000,0.618,0.95,100
77,1,56.286,0.667,0.551,162.000,100.000,0.618,0.95,100
78,1,56.317,0.667,0.589,162.000,100.000,0.618,0.95,100
79,1,56.324,0.667,0.589,162.000,100.000,0.618,0.95,100
80,1,56.430,0.667,0.590,162.000,100.000,0.618,0.95,100
81,1,56.430,0.667,0.590,162.000,100.000,0.618,0.95,100
82,1,56.430,0.667,0.649,162.000,100.000,0.618,0.95,100
83,1,56.430,0.667,0.650,162.000,100.000,0.618,0.95,100
84,1,56.426,0.667,0.698,162.000,100.000,0.618,0.95,100
85,1,56.421,0.667,0.699,162.000,100.000,0.618,0.95,100
86,1,56.721,0.667,0.753,162.000,100.000,0.618,0.95,100
87,1,57.254,0.667,0.754,162.000,100.000,0.618,0.95,100
88,1,57.254,0.667,0.806,162.000,100.000,0.618,0.95,100
89,1,57.254,0.667,0.806,162.000,100.000,0.618,0.95,100
90,1,57.254,0.667,0.807,162.000,100.000,0.618,0.95,100
91,1,57.253,0.667,0.844,162.000,100.000,0.618,0.95,100
92,1,57.253,0.667,0.845,162.000,100.000,0.618,0.95,100
93,1,57.276,0.667,0.845,162.000,100.000,0.618,0.95,100
94,1,57.276,0.667,0.879,162.000,100.000,0.618,0.95,100
95,1,57.743,0.667,0.879,162.000,100.000,0.618,0.95,100
96,1,61.096,0.548,0.879,147.000,115.000,0.561,0.95,100
97,1,61.096,0.548,0.880,147.000,115.000,0.561,0.95,100
98,1,61.096,0.548,0.925,147.000,115.000,0.561,0.95,100
99,1,61.096,0.548,0.925,147.000,115.000,0.561,0.95,100
100,1,66.489,0.458,0.926,127.000,135.000,0.485,0.95,100
1,8,69.926,0.361,0.005,96.000,166.000,0.366,0.95,100
2,8,63.168,0.653,0.006,158.000,104.000,0.603,0.95,100
3,8,63.143,0.653,0.007,158.000,104.000,0.603,0.95,100
4,8,63.145,0.653,0.008,158.000,104.000,0.603,0.95,100
5,8,63.145,0.653,0.009,158.000,104.000,0.603,0.95,100
6,8,63.145,0.653,0.142,158.000,104.000,0.603,0.95,100
7,8,62.992,0.653,0.143,158.000,104.000,0.603,0.95,100
8,8,62.992,0.653,0.144,158.000,104.000,0.603,0.95,100
9,8,62.991,0.653,0.148,158.000,104.000,0.603,0.95,100
10,8,62.990,0.653,0.149,158.000,104.000,0.603,0.95,100
11,8,62.990,0.653,0.149,158.000,104.000,0.603,0.95,100
12,8,62.743,0.655,0.150,157.000,105.000,0.599,0.95,100
13,8,62.826,0.653,0.151,157.000,105.000,0.599,0.95,100
14,8,58.876,0.653,0.151,157.000,105.000,0.599,0.95,100
15,8,58.876,0.653,0.154,157.000,105.000,0.599,0.95,100
16,8,58.876,0.653,0.154,157.000,105.000,0.599,0.95,100
17,8,58.876,0.653,0.155,157.000,105.000,0.599,0.95,100
18,8,58.976,0.653,0.155,157.000,105.000,0.599,0.95,100
19,8,58.902,0.653,0.156,157.000,105.000,0.599,0.95,100
20,8,58.898,0.653,0.157,157.000,105.000,0.599,0.95,100
21,8,58.898,0.653,0.158,157.000,105.000,0.599,0.95,100
22,8,62.856,0.653,0.158,157.000,105.000,0.599,0.95,100
23,8,62.854,0.653,0.159,157.000,105.000,0.599,0.95,100
24,8,62.854,0.653,0.159,157.000,105.000,0.599,0.95,100
25,8,62.854,0.653,0.160,157.000,105.000,0.599,0.95,100
26,8,64.582,0.653,0.160,157.000,105.000,0.599,0.95,100
27,8,64.582,0.653,0.161,157.000,105.000,0.599,0.95,100
28,8,64.582,0.653,0.161,157.000,105.000,0.599,0.95,100
29,8,64.582,0.653,0.162,157.000,105.000,0.599,0.95,100
30,8,64.583,0.653,0.162,157.000,105.000,0.599,0.95,100
31,8,64.640,0.653,0.162,157.000,105.000,0.599,0.95,100
32,8,64.164,0.659,0.163,159.000,103.000,0.607,0.95,100
33,8,64.214,0.653,0.163,159.000,103.000,0.607,0.95,100
34,8,64.214,0.653,0.164,159.000,103.000,0.607,0.95,100
35,8,61.489,0.653,0.164,157.000,105.000,0.599,0.95,100
36,8,61.437,0.653,0.165,157.000,105.000,0.599,0.95,100
37,8,61.437,0.653,0.165,157.000,105.000,0.599,0.95,100
38,8,65.344,0.651,0.165,158.000,104.000,0.603,0.95,100
39,8,65.344,0.651,0.166,158.000,104.000,0.603,0.95,100
40,8,65.344,0.651,0.166,158.000,104.000,0.603,0.95,100
41,8,65.344,0.651,0.167,158.000,104.000,0.603,0.95,100
42,8,65.220,0.651,0.168,158.000,104.000,0.603,0.95,100
43,8,65.220,0.651,0.168,158.000,104.000,0.603,0.95,100
44,8,65.221,0.651,0.169,158.000,104.000,0.603,0.95,100
45,8,61.257,0.651,0.169,158.000,104.000,0.603,0.95,100
46,8,61.257,0.651,0.169,158.000,104.000,0.603,0.95,100
47,8,61.130,0.651,0.170,158.000,104.000,0.603,0.95,100
48,8,60.780,0.671,0.170,162.000,100.000,0.618,0.95,100
49,8,60.780,0.671,0.171,162.000,100.000,0.618,0.95,100
50,8,61.809,0.649,0.171,164.000,98.000,0.626,0.95,100
51,8,62.228,0.645,0.172,165.000,97.000,0.630,0.95,100
52,8,62.288,0.645,0.172,165.000,97.000,0.630,0.95,100
53,8,63.098,0.659,0.173,160.000,102.000,0.611,0.95,100
54,8,63.098,0.659,0.173,160.000,102.000,0.611,0.95,100
55,8,63.037,0.667,0.174,162.000,100.000,0.618,0.95,100
56,8,63.037,0.667,0.174,162.000,100.000,0.618,0.95,100
57,8,63.056,0.667,0.174,162.000,100.000,0.618,0.95,100
58,8,61.930,0.667,0.175,162.000,100.000,0.618,0.95,100
59,8,63.968,0.667,0.247,162.000,100.000,0.618,0.95,100
60,8,64.194,0.665,0.247,162.000,100.000,0.618,0.95,100
61,8,63.744,0.665,0.248,162.000,100.000,0.618,0.95,100
62,8,67.696,0.667,0.248,163.000,99.000,0.622,0.95,100
63,8,67.696,0.667,0.372,163.000,99.000,0.622,0.95,100
64,8,67.696,0.667,0.372,163.000,99.000,0.622,0.95,100
65,8,68.186,0.667,0.373,162.000,100.000,0.618,0.95,100
66,8,68.268,0.667,0.373,162.000,100.000,0.618,0.95,100
67,8,66.762,0.667,0.374,162.000,100.000,0.618,0.95,100
68,8,69.359,0.667,0.374,162.000,100.000,0.618,0.95,100
69,8,69.285,0.667,0.392,162.000,100.000,0.618,0.95,100
70,8,69.285,0.667,0.392,162.000,100.000,0.618,0.95,100
71,8,69.285,0.667,0.393,162.000,100.000,0.618,0.95,100
72,8,67.554,0.667,0.393,163.000,99.000,0.622,0.95,100
73,8,66.686,0.673,0.393,162.000,100.000,0.618,0.95,100
74,8,66.686,0.673,0.394,162.000,100.000,0.618,0.95,100
75,8,66.663,0.673,0.395,162.000,100.000,0.618,0.95,100
76,8,66.663,0.673,0.395,162.000,100.000,0.618,0.95,100
77,8,66.663,0.673,0.396,162.000,100.000,0.618,0.95,100
78,8,71.607,0.667,0.396,162.000,100.000,0.618,0.95,100
79,8,69.893,0.667,0.397,162.000,100.000,0.618,0.95,100
80,8,69.646,0.667,0.397,162.000,100.000,0.618,0.95,100
81,8,64.715,0.667,0.398,162.000,100.000,0.618,0.95,100
82,8,64.786,0.667,0.398,162.000,100.000,0.618,0.95,100
83,8,64.653,0.667,0.398,162.000,100.000,0.618,0.95,100
84,8,58.392,0.673,0.399,163.000,99.000,0.622,0.95,100
85,8,58.392,0.673,0.476,163.000,99.000,0.622,0.95,100
86,8,58.386,0.673,0.476,163.000,99.000,0.622,0.95,100
87,8,58.175,0.673,0.477,163.000,99.000,0.622,0.95,100
88,8,57.887,0.675,0.502,163.000,99.000,0.622,0.95,100
89,8,58.051,0.675,0.546,163.000,99.000,0.622,0.95,100
90,8,57.945,0.675,0.547,163.000,99.000,0.622,0.95,100
91,8,57.741,0.675,0.547,163.000,99.000,0.622,0.95,100
92,8,57.624,0.675,0.548,163.000,99.000,0.622,0.95,100
93,8,58.115,0.675,0.548,163.000,99.000,0.622,0.95,100
