a,b,c,d,e,f,g,h,i,j
94,8,58.172,0.675,0.549,162.000,100.000,0.618,0.95,100
95,8,60.554,0.675,0.549,162.000,100.000,0.618,0.95,100
96,8,60.552,0.675,0.604,162.000,100.000,0.618,0.95,100
97,8,60.552,0.675,0.604,162.000,100.000,0.618,0.95,100
98,8,60.637,0.675,0.605,162.000,100.000,0.618,0.95,100
99,8,60.558,0.675,0.631,162.000,100.000,0.618,0.95,100
100,8,60.558,0.675,0.632,162.000,100.000,0.618,0.95,100
1,4,57.651,0.667,0.004,162.000,100.000,0.618,0.95,100
2,4,57.651,0.667,0.006,162.000,100.000,0.618,0.95,100
3,4,57.650,0.667,0.205,162.000,100.000,0.618,0.95,100
4,4,57.565,0.667,0.206,162.000,100.000,0.618,0.95,100
5,4,57.565,0.667,0.207,162.000,100.000,0.618,0.95,100
6,4,57.602,0.667,0.208,162.000,100.000,0.618,0.95,100
7,4,57.602,0.667,0.209,162.000,100.000,0.618,0.95,100
8,4,57.602,0.667,0.211,162.000,100.000,0.618,0.95,100
9,4,57.230,0.667,0.211,162.000,100.000,0.618,0.95,100
10,4,59.187,0.667,0.212,162.000,100.000,0.618,0.95,100
11,4,58.656,0.667,0.319,162.000,100.000,0.618,0.95,100
12,4,58.676,0.667,0.320,162.000,100.000,0.618,0.95,100
13,4,58.023,0.667,0.320,162.000,100.000,0.618,0.95,100
14,4,58.183,0.663,0.321,163.000,99.000,0.622,0.95,100
15,4,58.501,0.657,0.324,162.000,100.000,0.618,0.95,100
16,4,64.447,0.643,0.324,155.000,107.000,0.592,0.95,100
17,4,64.482,0.643,0.326,155.000,107.000,0.592,0.95,100
18,4,59.920,0.645,0.326,157.000,105.000,0.599,0.95,100
19,4,59.920,0.645,0.379,157.000,105.000,0.599,0.95,100
20,4,59.910,0.645,0.380,157.000,105.000,0.599,0.95,100
21,4,59.910,0.645,0.380,157.000,105.000,0.599,0.95,100
22,4,59.914,0.645,0.380,157.000,105.000,0.599,0.95,100
23,4,59.884,0.645,0.381,157.000,105.000,0.599,0.95,100
24,4,59.845,0.645,0.381,156.000,106.000,0.595,0.95,100
25,4,57.803,0.647,0.382,156.000,106.000,0.595,0.95,100
26,4,57.803,0.647,0.382,156.000,106.000,0.595,0.95,100
27,4,58.250,0.637,0.383,151.000,111.000,0.576,0.95,100
28,4,57.403,0.655,0.383,157.000,105.000,0.599,0.95,100
29,4,57.544,0.655,0.384,157.000,105.000,0.599,0.95,100
30,4,57.513,0.655,0.384,157.000,105.000,0.599,0.95,100
31,4,59.456,0.596,0.385,142.000,120.000,0.542,0.95,100
32,4,61.513,0.661,0.385,157.000,105.000,0.599,0.95,100
33,4,60.118,0.661,0.386,157.000,105.000,0.599,0.95,100
34,4,57.951,0.661,0.387,158.000,104.000,0.603,0.95,100
35,4,57.952,0.661,0.387,158.000,104.000,0.603,0.95,100
36,4,57.896,0.661,0.388,158.000,104.000,0.603,0.95,100
37,4,58.040,0.661,0.388,153.000,109.000,0.584,0.95,100
38,4,57.811,0.659,0.388,153.000,109.000,0.584,0.95,100
39,4,57.811,0.659,0.389,153.000,109.000,0.584,0.95,100
40,4,59.222,0.637,0.389,146.000,116.000,0.557,0.95,100
41,4,59.220,0.637,0.390,146.000,116.000,0.557,0.95,100
42,4,59.242,0.637,0.390,146.000,116.000,0.557,0.95,100
43,4,58.918,0.647,0.391,149.000,113.000,0.569,0.95,100
44,4,58.808,0.649,0.391,150.000,112.000,0.573,0.95,100
45,4,59.039,0.649,0.392,149.000,113.000,0.569,0.95,100
46,4,59.059,0.643,0.392,148.000,114.000,0.565,0.95,100
47,4,59.059,0.643,0.392,148.000,114.000,0.565,0.95,100
48,4,59.787,0.637,0.393,143.000,119.000,0.546,0.95,100
49,4,66.115,0.538,0.393,135.000,127.000,0.515,0.95,100
50,4,66.115,0.538,0.394,135.000,127.000,0.515,0.95,100
51,4,66.115,0.538,0.394,135.000,127.000,0.515,0.95,100
52,4,62.254,0.538,0.548,136.000,126.000,0.519,0.95,100
53,4,65.880,0.538,0.549,135.000,127.000,0.515,0.95,100
54,4,65.880,0.538,0.549,135.000,127.000,0.515,0.95,100
55,4,65.880,0.538,0.550,135.000,127.000,0.515,0.95,100
56,4,62.157,0.538,0.578,136.000,126.000,0.519,0.95,100
57,4,60.809,0.562,0.579,138.000,124.000,0.527,0.95,100
58,4,58.047,0.613,0.579,142.000,120.000,0.542,0.95,100
59,4,63.292,0.495,0.639,122.000,140.000,0.466,0.95,100
60,4,64.848,0.495,0.640,121.000,141.000,0.462,0.95,100
61,4,64.381,0.495,0.640,121.000,141.000,0.462,0.95,100
62,4,65.574,0.495,0.641,121.000,141.000,0.462,0.95,100
63,4,77.056,0.501,0.641,122.000,140.000,0.466,0.95,100
64,4,77.056,0.501,0.642,122.000,140.000,0.466,0.95,100
65,4,77.115,0.501,0.710,122.000,140.000,0.466,0.95,100
66,4,77.115,0.501,0.711,122.000,140.000,0.466,0.95,100
67,4,77.083,0.501,0.711,122.000,140.000,0.466,0.95,100
68,4,77.974,0.475,0.712,120.000,142.000,0.458,0.95,100
69,4,77.985,0.475,0.712,120.000,142.000,0.458,0.95,100
70,4,78.092,0.467,0.713,119.000,143.000,0.454,0.95,100
71,4,78.063,0.467,0.738,119.000,143.000,0.454,0.95,100
72,4,78.286,0.462,0.738,116.000,146.000,0.443,0.95,100
73,4,77.923,0.473,0.739,120.000,142.000,0.458,0.95,100
74,4,83.245,0.428,0.739,118.000,144.000,0.450,0.95,100
75,4,83.245,0.428,0.739,118.000,144.000,0.450,0.95,100
76,4,83.239,0.428,0.740,118.000,144.000,0.450,0.95,100
77,4,83.239,0.428,0.873,118.000,144.000,0.450,0.95,100
78,4,81.648,0.428,0.873,117.000,145.000,0.447,0.95,100
79,4,81.657,0.428,0.915,117.000,145.000,0.447,0.95,100
80,4,82.024,0.422,0.916,117.000,145.000,0.447,0.95,100
81,4,82.024,0.422,0.919,117.000,145.000,0.447,0.95,100
82,4,82.028,0.422,0.919,117.000,145.000,0.447,0.95,100
83,4,82.028,0.422,0.920,117.000,145.000,0.447,0.95,100
84,4,82.121,0.422,0.920,117.000,145.000,0.447,0.95,100
85,4,79.176,0.418,0.921,117.000,145.000,0.447,0.95,100
86,4,85.712,0.333,0.921,100.000,162.000,0.382,0.95,100
87,4,85.723,0.333,0.922,100.000,162.000,0.382,0.95,100
88,4,90.075,0.333,0.922,100.000,162.000,0.382,0.95,100
89,4,89.979,0.333,0.941,100.000,162.000,0.382,0.95,100
90,4,89.815,0.333,0.963,100.000,162.000,0.382,0.95,100
91,4,91.507,0.333,0.964,100.000,162.000,0.382,0.95,100
92,4,91.507,0.333,0.964,100.000,162.000,0.382,0.95,100
93,4,91.507,0.333,0.965,100.000,162.000,0.382,0.95,100
94,4,91.507,0.333,0.982,100.000,162.000,0.382,0.95,100
95,4,91.507,0.333,0.983,100.000,162.000,0.382,0.95,100
96,4,93.220,0.333,0.983,100.000,162.000,0.382,0.95,100
97,4,93.220,0.333,0.984,100.000,162.000,0.382,0.95,100
98,4,84.200,0.333,0.984,100.000,162.000,0.382,0.95,100
99,4,84.484,0.333,0.985,100.000,162.000,0.382,0.95,100
100,4,84.075,0.333,0.986,100.000,162.000,0.382,0.95,100
1,6,59.073,0.655,0.004,149.000,113.000,0.569,0.95,100
2,6,78.177,0.393,0.006,121.000,141.000,0.462,0.95,100
3,6,78.177,0.393,0.006,121.000,141.000,0.462,0.95,100
4,6,61.752,0.651,0.007,170.000,92.000,0.649,0.95,100
5,6,61.979,0.643,0.010,160.000,102.000,0.611,0.95,100
6,6,61.503,0.647,0.010,166.000,96.000,0.634,0.95,100
7,6,57.363,0.647,0.011,168.000,94.000,0.641,0.95,100
8,6,57.363,0.647,0.012,168.000,94.000,0.641,0.95,100
9,6,57.363,0.647,0.023,168.000,94.000,0.641,0.95,100
10,6,57.453,0.647,0.023,171.000,91.000,0.653,0.95,100
11,6,57.453,0.647,0.024,171.000,91.000,0.653,0.95,100
12,6,55.094,0.659,0.025,165.000,97.000,0.630,0.95,100
13,6,55.094,0.659,0.028,165.000,97.000,0.630,0.95,100
14,6,55.094,0.659,0.028,165.000,97.000,0.630,0.95,100
15,6,55.094,0.659,0.029,165.000,97.000,0.630,0.95,100
16,6,55.098,0.659,0.029,165.000,97.000,0.630,0.95,100
17,6,55.998,0.643,0.030,172.000,90.000,0.656,0.95,100
18,6,55.354,0.671,0.030,158.000,104.000,0.603,0.95,100
19,6,56.390,0.637,0.031,174.000,88.000,0.664,0.95,100
20,6,53.378,0.694,0.031,178.000,84.000,0.679,0.95,100
21,6,53.374,0.694,0.032,178.000,84.000,0.679,0.95,100
22,6,53.374,0.694,0.032,178.000,84.000,0.679,0.95,100
23,6,53.281,0.700,0.032,177.000,85.000,0.676,0.95,100
24,6,53.281,0.700,0.033,177.000,85.000,0.676,0.95,100
25,6,53.281,0.700,0.033,177.000,85.000,0.676,0.95,100
26,6,55.097,0.677,0.034,174.000,88.000,0.664,0.95,100
27,6,55.097,0.677,0.034,174.000,88.000,0.664,0.95,100
28,6,55.097,0.677,0.035,174.000,88.000,0.664,0.95,100
29,6,55.097,0.677,0.035,174.000,88.000,0.664,0.95,100
30,6,55.097,0.677,0.036,174.000,88.000,0.664,0.95,100
31,6,60.011,0.598,0.036,151.000,111.000,0.576,0.95,100
32,6,60.011,0.598,0.037,151.000,111.000,0.576,0.95,100
33,6,60.011,0.598,0.037,151.000,111.000,0.576,0.95,100
34,6,58.920,0.609,0.038,150.000,112.000,0.573,0.95,100
35,6,58.920,0.609,0.038,150.000,112.000,0.573,0.95,100
36,6,60.181,0.604,0.038,150.000,112.000,0.573,0.95,100
37,6,60.181,0.604,0.039,150.000,112.000,0.573,0.95,100
38,6,60.181,0.604,0.039,150.000,112.000,0.573,0.95,100
39,6,64.920,0.604,0.040,151.000,111.000,0.576,0.95,100
40,6,67.224,0.576,0.040,148.000,114.000,0.565,0.95,100
41,6,85.161,0.335,0.041,100.000,162.000,0.382,0.95,100
42,6,85.161,0.335,0.041,100.000,162.000,0.382,0.95,100
43,6,85.161,0.335,0.042,100.000,162.000,0.382,0.95,100
44,6,85.238,0.335,0.042,100.000,162.000,0.382,0.95,100
45,6,82.218,0.335,0.043,100.000,162.000,0.382,0.95,100
46,6,82.210,0.335,0.043,100.000,162.000,0.382,0.95,100
47,6,74.677,0.335,0.043,100.000,162.000,0.382,0.95,100
48,6,96.186,0.335,0.044,100.000,162.000,0.382,0.95,100
49,6,96.186,0.335,0.044,100.000,162.000,0.382,0.95,100
50,6,96.494,0.335,0.045,100.000,162.000,0.382,0.95,100
51,6,85.969,0.503,0.045,133.000,129.000,0.508,0.95,100
52,6,85.969,0.503,0.050,133.000,129.000,0.508,0.95,100
53,6,85.969,0.503,0.056,133.000,129.000,0.508,0.95,100
54,6,78.849,0.556,0.056,133.000,129.000,0.508,0.95,100
55,6,75.946,0.586,0.057,138.000,124.000,0.527,0.95,100
56,6,75.946,0.586,0.057,138.000,124.000,0.527,0.95,100
57,6,75.946,0.586,0.094,138.000,124.000,0.527,0.95,100
58,6,75.919,0.586,0.095,138.000,124.000,0.527,0.95,100
59,6,75.919,0.586,0.121,138.000,124.000,0.527,0.95,100
60,6,76.807,0.576,0.148,139.000,123.000,0.531,0.95,100
61,6,76.807,0.576,0.148,139.000,123.000,0.531,0.95,100
62,6,76.807,0.576,0.176,139.000,123.000,0.531,0.95,100
63,6,76.807,0.576,0.219,139.000,123.000,0.531,0.95,100
64,6,70.439,0.590,0.220,137.000,125.000,0.523,0.95,100
65,6,70.439,0.590,0.379,137.000,125.000,0.523,0.95,100
66,6,71.385,0.580,0.380,140.000,122.000,0.534,0.95,100
67,6,71.385,0.580,0.380,140.000,122.000,0.534,0.95,100
68,6,71.385,0.580,0.382,140.000,122.000,0.534,0.95,100
69,6,71.385,0.580,0.421,140.000,122.000,0.534,0.95,100
70,6,71.385,0.580,0.421,140.000,122.000,0.534,0.95,100
71,6,71.385,0.580,0.447,140.000,122.000,0.534,0.95,100
72,6,63.662,0.586,0.447,139.000,123.000,0.531,0.95,100
73,6,63.662,0.586,0.534,139.000,123.000,0.531,0.95,100
74,6,63.662,0.586,0.567,139.000,123.000,0.531,0.95,100
75,6,63.662,0.586,0.567,139.000,123.000,0.531,0.95,100
76,6,63.496,0.588,0.568,137.000,125.000,0.523,0.95,100
77,6,63.496,0.588,0.568,137.000,125.000,0.523,0.95,100
78,6,58.365,0.596,0.606,136.000,126.000,0.519,0.95,100
79,6,71.320,0.355,0.607,106.000,156.000,0.405,0.95,100
80,6,71.450,0.353,0.607,103.000,159.000,0.393,0.95,100
81,6,71.450,0.353,0.608,103.000,159.000,0.393,0.95,100
82,6,59.840,0.570,0.608,135.000,127.000,0.515,0.95,100
83,6,59.840,0.570,0.609,135.000,127.000,0.515,0.95,100
84,6,59.840,0.570,0.609,135.000,127.000,0.515,0.95,100
85,6,57.712,0.667,0.609,162.000,100.000,0.618,0.95,100
86,6,57.712,0.667,0.610,162.000,100.000,0.618,0.95,100
87,6,57.712,0.667,0.611,162.000,100.000,0.618,0.95,100
88,6,57.712,0.667,0.611,162.000,100.000,0.618,0.95,100
89,6,57.712,0.667,0.612,162.000,100.000,0.618,0.95,100
90,6,57.712,0.667,0.612,162.000,100.000,0.618,0.95,100
91,6,57.712,0.667,0.613,162.000,100.000,0.618,0.95,100
92,6,57.712,0.667,0.613,162.000,100.000,0.618,0.95,100
93,6,57.712,0.667,0.614,162.000,100.000,0.618,0.95,100
94,6,57.712,0.667,0.614,162.000,100.000,0.618,0.95,100
95,6,57.712,0.667,0.633,162.000,100.000,0.618,0.95,100
96,6,57.598,0.669,0.654,161.000,101.000,0.615,0.95,100
97,6,57.598,0.669,0.654,161.000,101.000,0.615,0.95,100
98,6,57.598,0.669,0.655,161.000,101.000,0.615,0.95,100
99,6,58.438,0.669,0.672,161.000,101.000,0.615,0.95,100
100,6,58.438,0.669,0.673,161.000,101.000,0.615,0.95,100
1,3,65.948,0.523,0.004,132.000,130.000,0.504,0.95,100
2,3,79.457,0.460,0.006,121.000,141.000,0.462,0.95,100
3,3,79.452,0.460,0.007,121.000,141.000,0.462,0.95,100
4,3,85.200,0.333,0.009,99.000,163.000,0.378,0.95,100
5,3,74.327,0.339,0.010,100.000,162.000,0.382,0.95,100
6,3,74.344,0.339,0.011,100.000,162.000,0.382,0.95,100
7,3,82.471,0.339,0.012,100.000,162.000,0.382,0.95,100
8,3,81.169,0.339,0.012,100.000,162.000,0.382,0.95,100
9,3,81.169,0.339,0.013,100.000,162.000,0.382,0.95,100
10,3,81.169,0.339,0.014,100.000,162.000,0.382,0.95,100
