a,b,c,d,e,f,g,h,i,j
1,2,74.223,0.333,0.074,100.000,162.000,0.382,0.95,1000
2,2,74.223,0.333,0.086,100.000,162.000,0.382,0.95,1000
3,2,65.173,0.333,0.088,100.000,162.000,0.382,0.95,1000
4,2,64.577,0.556,0.089,130.000,132.000,0.496,0.95,1000
5,2,64.578,0.558,0.090,130.000,132.000,0.496,0.95,1000
6,2,66.378,0.477,0.091,113.000,149.000,0.431,0.95,1000
7,2,66.339,0.477,0.092,112.000,150.000,0.427,0.95,1000
8,2,58.770,0.659,0.093,157.000,105.000,0.599,0.95,1000
9,2,59.836,0.631,0.094,149.000,113.000,0.569,0.95,1000
10,2,59.834,0.631,0.095,149.000,113.000,0.569,0.95,1000
11,2,56.058,0.659,0.095,154.000,108.000,0.588,0.95,1000
12,2,56.046,0.657,0.096,154.000,108.000,0.588,0.95,1000
13,2,56.042,0.661,0.096,158.000,104.000,0.603,0.95,1000
14,2,54.488,0.669,0.097,161.000,101.000,0.615,0.95,1000
15,2,54.743,0.665,0.097,162.000,100.000,0.618,0.95,1000
16,2,55.136,0.655,0.113,154.000,108.000,0.588,0.95,1000
17,2,55.136,0.655,0.113,154.000,108.000,0.588,0.95,1000
18,2,55.782,0.673,0.114,159.000,103.000,0.607,0.95,1000
19,2,55.782,0.673,0.114,159.000,103.000,0.607,0.95,1000
20,2,55.900,0.675,0.115,160.000,102.000,0.611,0.95,1000
21,2,56.721,0.663,0.128,156.000,106.000,0.595,0.95,1000
22,2,56.697,0.663,0.128,156.000,106.000,0.595,0.95,1000
23,2,61.457,0.604,0.129,137.000,125.000,0.523,0.95,1000
24,2,61.457,0.604,0.129,137.000,125.000,0.523,0.95,1000
25,2,62.883,0.584,0.130,132.000,130.000,0.504,0.95,1000
26,2,62.858,0.586,0.130,132.000,130.000,0.504,0.95,1000
27,2,62.858,0.586,0.131,132.000,130.000,0.504,0.95,1000
28,2,80.560,0.509,0.131,118.000,144.000,0.450,0.95,1000
29,2,88.035,0.503,0.363,116.000,146.000,0.443,0.95,1000
30,2,88.035,0.503,0.363,116.000,146.000,0.443,0.95,1000
31,2,77.108,0.511,0.382,116.000,146.000,0.443,0.95,1000
32,2,77.108,0.511,0.382,116.000,146.000,0.443,0.95,1000
33,2,77.108,0.511,0.383,116.000,146.000,0.443,0.95,1000
34,2,77.165,0.511,0.383,116.000,146.000,0.443,0.95,1000
35,2,74.903,0.521,0.384,121.000,141.000,0.462,0.95,1000
36,2,70.628,0.517,0.384,117.000,145.000,0.447,0.95,1000
37,2,70.375,0.521,0.385,118.000,144.000,0.450,0.95,1000
38,2,72.025,0.489,0.385,112.000,150.000,0.427,0.95,1000
39,2,72.025,0.489,0.386,112.000,150.000,0.427,0.95,1000
40,2,69.820,0.491,0.386,112.000,150.000,0.427,0.95,1000
41,2,69.820,0.491,0.387,112.000,150.000,0.427,0.95,1000
42,2,72.607,0.483,0.387,116.000,146.000,0.443,0.95,1000
43,2,71.796,0.485,0.388,116.000,146.000,0.443,0.95,1000
44,2,65.921,0.546,0.388,131.000,131.000,0.500,0.95,1000
