a,b,c,d,e,f,g,h,i,j,k
61,6,63.481,0.513,0.914,141.000,121.000,0.538,100,50,20
62,6,63.481,0.513,0.914,141.000,121.000,0.538,100,50,20
63,6,63.481,0.513,0.914,141.000,121.000,0.538,100,50,20
64,6,63.481,0.513,0.915,141.000,121.000,0.538,100,50,20
65,6,63.481,0.513,0.915,141.000,121.000,0.538,100,50,20
66,6,63.481,0.513,0.915,141.000,121.000,0.538,100,50,20
67,6,63.481,0.513,0.915,141.000,121.000,0.538,100,50,20
68,6,63.481,0.513,0.916,141.000,121.000,0.538,100,50,20
69,6,63.481,0.513,0.916,141.000,121.000,0.538,100,50,20
70,6,63.481,0.513,0.916,141.000,121.000,0.538,100,50,20
71,6,63.481,0.513,1.032,141.000,121.000,0.538,100,50,20
72,6,63.481,0.513,1.033,141.000,121.000,0.538,100,50,20
73,6,63.481,0.513,1.033,141.000,121.000,0.538,100,50,20
74,6,60.814,0.513,1.033,142.000,120.000,0.542,100,50,20
75,6,60.814,0.513,1.034,142.000,120.000,0.542,100,50,20
76,6,60.814,0.513,1.035,142.000,120.000,0.542,100,50,20
77,6,60.094,0.515,1.035,141.000,121.000,0.538,100,50,20
78,6,60.094,0.515,1.035,141.000,121.000,0.538,100,50,20
79,6,60.094,0.515,1.041,141.000,121.000,0.538,100,50,20
80,6,60.094,0.515,1.041,141.000,121.000,0.538,100,50,20
81,6,60.094,0.515,1.041,141.000,121.000,0.538,100,50,20
82,6,60.094,0.515,1.042,141.000,121.000,0.538,100,50,20
83,6,60.094,0.515,1.042,141.000,121.000,0.538,100,50,20
84,6,59.964,0.523,1.042,142.000,120.000,0.542,100,50,20
85,6,59.964,0.523,1.043,142.000,120.000,0.542,100,50,20
86,6,56.921,0.665,1.043,163.000,99.000,0.622,100,50,20
87,6,56.921,0.665,1.043,163.000,99.000,0.622,100,50,20
88,6,56.921,0.665,1.044,163.000,99.000,0.622,100,50,20
89,6,56.921,0.665,1.044,163.000,99.000,0.622,100,50,20
90,6,56.921,0.665,1.044,163.000,99.000,0.622,100,50,20
91,6,56.921,0.665,1.045,163.000,99.000,0.622,100,50,20
92,6,56.921,0.665,1.045,163.000,99.000,0.622,100,50,20
93,6,56.921,0.665,1.045,163.000,99.000,0.622,100,50,20
94,6,56.779,0.663,1.046,167.000,95.000,0.637,100,50,20
95,6,56.779,0.663,1.046,167.000,95.000,0.637,100,50,20
96,6,56.350,0.667,1.046,162.000,100.000,0.618,100,50,20
97,6,56.350,0.667,1.047,162.000,100.000,0.618,100,50,20
98,6,56.350,0.667,1.047,162.000,100.000,0.618,100,50,20
99,6,56.350,0.667,1.048,162.000,100.000,0.618,100,50,20
100,6,56.290,0.667,1.048,162.000,100.000,0.618,100,50,20
1,1,56.389,0.667,0.001,162.000,100.000,0.618,200,125,60
2,1,56.389,0.667,0.022,162.000,100.000,0.618,200,125,60
3,1,56.389,0.667,0.023,162.000,100.000,0.618,200,125,60
4,1,56.389,0.667,0.025,162.000,100.000,0.618,200,125,60
5,1,56.357,0.667,0.027,162.000,100.000,0.618,200,125,60
6,1,56.357,0.667,0.175,162.000,100.000,0.618,200,125,60
7,1,55.838,0.667,0.311,162.000,100.000,0.618,200,125,60
8,1,55.838,0.667,0.417,162.000,100.000,0.618,200,125,60
9,1,55.542,0.667,0.495,162.000,100.000,0.618,200,125,60
10,1,55.298,0.667,0.629,162.000,100.000,0.618,200,125,60
11,1,55.298,0.667,0.629,162.000,100.000,0.618,200,125,60
12,1,55.298,0.667,0.630,162.000,100.000,0.618,200,125,60
13,1,55.298,0.667,0.630,162.000,100.000,0.618,200,125,60
14,1,55.298,0.667,0.689,162.000,100.000,0.618,200,125,60
15,1,55.261,0.667,0.689,162.000,100.000,0.618,200,125,60
16,1,55.199,0.667,0.690,162.000,100.000,0.618,200,125,60
17,1,55.198,0.667,0.690,162.000,100.000,0.618,200,125,60
18,1,55.180,0.667,0.691,162.000,100.000,0.618,200,125,60
19,1,55.180,0.667,0.691,162.000,100.000,0.618,200,125,60
20,1,55.180,0.667,0.692,162.000,100.000,0.618,200,125,60
21,1,55.180,0.667,0.693,162.000,100.000,0.618,200,125,60
22,1,55.180,0.667,0.693,162.000,100.000,0.618,200,125,60
23,1,55.180,0.667,0.694,162.000,100.000,0.618,200,125,60
24,1,55.180,0.667,0.694,162.000,100.000,0.618,200,125,60
25,1,55.180,0.667,0.695,162.000,100.000,0.618,200,125,60
26,1,55.180,0.667,0.695,162.000,100.000,0.618,200,125,60
27,1,54.881,0.667,0.696,162.000,100.000,0.618,200,125,60
28,1,54.881,0.667,0.696,162.000,100.000,0.618,200,125,60
29,1,54.881,0.667,0.697,162.000,100.000,0.618,200,125,60
30,1,54.881,0.667,0.697,162.000,100.000,0.618,200,125,60
31,1,54.881,0.667,0.698,162.000,100.000,0.618,200,125,60
32,1,54.881,0.667,0.698,162.000,100.000,0.618,200,125,60
33,1,54.881,0.667,0.699,162.000,100.000,0.618,200,125,60
34,1,54.140,0.667,0.699,162.000,100.000,0.618,200,125,60
35,1,54.140,0.667,0.700,162.000,100.000,0.618,200,125,60
36,1,54.140,0.667,0.700,162.000,100.000,0.618,200,125,60
37,1,54.140,0.667,0.701,162.000,100.000,0.618,200,125,60
38,1,54.140,0.667,0.701,162.000,100.000,0.618,200,125,60
39,1,54.140,0.667,0.702,162.000,100.000,0.618,200,125,60
40,1,54.140,0.667,0.702,162.000,100.000,0.618,200,125,60
41,1,54.140,0.667,0.703,162.000,100.000,0.618,200,125,60
42,1,54.140,0.667,0.703,162.000,100.000,0.618,200,125,60
43,1,54.140,0.667,0.704,162.000,100.000,0.618,200,125,60
44,1,54.140,0.667,0.704,162.000,100.000,0.618,200,125,60
45,1,54.140,0.667,0.704,162.000,100.000,0.618,200,125,60
46,1,54.123,0.669,0.705,162.000,100.000,0.618,200,125,60
47,1,54.123,0.669,0.705,162.000,100.000,0.618,200,125,60
48,1,54.123,0.669,0.705,162.000,100.000,0.618,200,125,60
49,1,53.921,0.669,0.706,162.000,100.000,0.618,200,125,60
50,1,53.921,0.669,0.706,162.000,100.000,0.618,200,125,60
51,1,53.921,0.669,0.706,162.000,100.000,0.618,200,125,60
52,1,53.689,0.669,0.712,162.000,100.000,0.618,200,125,60
53,1,53.689,0.669,0.712,162.000,100.000,0.618,200,125,60
54,1,53.689,0.669,0.712,162.000,100.000,0.618,200,125,60
55,1,53.689,0.669,0.715,162.000,100.000,0.618,200,125,60
56,1,53.688,0.669,0.715,162.000,100.000,0.618,200,125,60
57,1,53.688,0.669,0.716,162.000,100.000,0.618,200,125,60
58,1,53.688,0.669,0.717,162.000,100.000,0.618,200,125,60
59,1,53.678,0.669,0.717,162.000,100.000,0.618,200,125,60
60,1,53.678,0.669,0.717,162.000,100.000,0.618,200,125,60
61,1,53.678,0.669,0.718,162.000,100.000,0.618,200,125,60
62,1,53.392,0.669,0.718,162.000,100.000,0.618,200,125,60
63,1,53.392,0.669,0.718,162.000,100.000,0.618,200,125,60
64,1,53.392,0.669,0.719,162.000,100.000,0.618,200,125,60
65,1,53.392,0.669,0.719,162.000,100.000,0.618,200,125,60
66,1,53.392,0.669,0.719,162.000,100.000,0.618,200,125,60
67,1,53.392,0.669,0.720,162.000,100.000,0.618,200,125,60
68,1,53.392,0.669,0.720,162.000,100.000,0.618,200,125,60
69,1,53.392,0.669,0.720,162.000,100.000,0.618,200,125,60
70,1,53.392,0.669,0.721,162.000,100.000,0.618,200,125,60
71,1,53.392,0.669,0.721,162.000,100.000,0.618,200,125,60
72,1,53.392,0.669,0.813,162.000,100.000,0.618,200,125,60
73,1,53.392,0.669,0.814,162.000,100.000,0.618,200,125,60
74,1,53.392,0.669,0.814,162.000,100.000,0.618,200,125,60
75,1,53.392,0.669,0.814,162.000,100.000,0.618,200,125,60
76,1,53.392,0.669,0.815,162.000,100.000,0.618,200,125,60
77,1,53.392,0.669,0.815,162.000,100.000,0.618,200,125,60
78,1,53.392,0.669,0.816,162.000,100.000,0.618,200,125,60
79,1,53.388,0.669,0.816,162.000,100.000,0.618,200,125,60
80,1,53.388,0.669,0.816,162.000,100.000,0.618,200,125,60
81,1,53.388,0.669,0.817,162.000,100.000,0.618,200,125,60
82,1,53.388,0.669,0.817,162.000,100.000,0.618,200,125,60
83,1,53.388,0.669,0.817,162.000,100.000,0.618,200,125,60
84,1,53.388,0.669,0.817,162.000,100.000,0.618,200,125,60
85,1,53.381,0.669,0.818,162.000,100.000,0.618,200,125,60
86,1,53.381,0.669,0.818,162.000,100.000,0.618,200,125,60
87,1,53.381,0.669,0.819,162.000,100.000,0.618,200,125,60
88,1,53.381,0.669,0.819,162.000,100.000,0.618,200,125,60
89,1,53.381,0.669,0.824,162.000,100.000,0.618,200,125,60
90,1,53.381,0.669,0.824,162.000,100.000,0.618,200,125,60
91,1,53.381,0.669,0.825,162.000,100.000,0.618,200,125,60
92,1,53.381,0.669,0.826,162.000,100.000,0.618,200,125,60
93,1,53.381,0.669,0.826,162.000,100.000,0.618,200,125,60
94,1,53.381,0.669,0.826,162.000,100.000,0.618,200,125,60
95,1,53.381,0.669,0.827,162.000,100.000,0.618,200,125,60
96,1,53.318,0.669,0.827,162.000,100.000,0.618,200,125,60
97,1,53.318,0.669,0.827,162.000,100.000,0.618,200,125,60
98,1,53.318,0.669,0.828,162.000,100.000,0.618,200,125,60
99,1,53.318,0.669,0.828,162.000,100.000,0.618,200,125,60
100,1,53.318,0.669,0.828,162.000,100.000,0.618,200,125,60
1,3,63.008,0.493,0.009,125.000,137.000,0.477,100,50,20
2,3,63.007,0.485,0.010,125.000,137.000,0.477,100,50,20
3,3,63.007,0.485,0.282,125.000,137.000,0.477,100,50,20
4,3,63.006,0.485,0.442,125.000,137.000,0.477,100,50,20
5,3,63.006,0.485,0.443,125.000,137.000,0.477,100,50,20
6,3,63.006,0.485,0.644,125.000,137.000,0.477,100,50,20
7,3,59.027,0.667,0.705,162.000,100.000,0.618,100,50,20
8,3,59.027,0.667,0.763,162.000,100.000,0.618,100,50,20
9,3,59.027,0.667,0.846,162.000,100.000,0.618,100,50,20
10,3,59.027,0.667,1.049,162.000,100.000,0.618,100,50,20
11,3,59.027,0.667,1.050,162.000,100.000,0.618,100,50,20
12,3,58.398,0.667,1.050,162.000,100.000,0.618,100,50,20
13,3,58.398,0.667,1.051,162.000,100.000,0.618,100,50,20
14,3,58.398,0.667,1.051,162.000,100.000,0.618,100,50,20
15,3,58.398,0.667,1.107,162.000,100.000,0.618,100,50,20
16,3,58.386,0.667,1.108,162.000,100.000,0.618,100,50,20
17,3,58.386,0.667,1.108,162.000,100.000,0.618,100,50,20
18,3,58.312,0.667,1.109,162.000,100.000,0.618,100,50,20
19,3,58.312,0.667,1.109,162.000,100.000,0.618,100,50,20
20,3,58.312,0.667,1.110,162.000,100.000,0.618,100,50,20
21,3,58.221,0.667,1.110,162.000,100.000,0.618,100,50,20
22,3,58.221,0.667,1.111,162.000,100.000,0.618,100,50,20
23,3,58.221,0.667,1.111,162.000,100.000,0.618,100,50,20
24,3,58.221,0.667,1.112,162.000,100.000,0.618,100,50,20
25,3,58.221,0.667,1.112,162.000,100.000,0.618,100,50,20
26,3,57.196,0.667,1.113,162.000,100.000,0.618,100,50,20
27,3,57.185,0.667,1.113,162.000,100.000,0.618,100,50,20
28,3,57.172,0.667,1.114,162.000,100.000,0.618,100,50,20
29,3,57.172,0.667,1.114,162.000,100.000,0.618,100,50,20
30,3,57.089,0.667,1.115,162.000,100.000,0.618,100,50,20
31,3,57.089,0.667,1.115,162.000,100.000,0.618,100,50,20
32,3,57.089,0.667,1.116,162.000,100.000,0.618,100,50,20
33,3,57.077,0.667,1.116,162.000,100.000,0.618,100,50,20
34,3,57.077,0.667,1.117,162.000,100.000,0.618,100,50,20
35,3,57.077,0.667,1.117,162.000,100.000,0.618,100,50,20
36,3,57.077,0.667,1.118,162.000,100.000,0.618,100,50,20
37,3,57.077,0.667,1.119,162.000,100.000,0.618,100,50,20
38,3,57.077,0.667,1.119,162.000,100.000,0.618,100,50,20
39,3,57.077,0.667,1.120,162.000,100.000,0.618,100,50,20
40,3,57.077,0.667,1.120,162.000,100.000,0.618,100,50,20
41,3,57.077,0.667,1.121,162.000,100.000,0.618,100,50,20
42,3,57.077,0.667,1.121,162.000,100.000,0.618,100,50,20
43,3,56.712,0.667,1.228,162.000,100.000,0.618,100,50,20
44,3,56.711,0.667,1.229,162.000,100.000,0.618,100,50,20
45,3,56.534,0.667,1.229,162.000,100.000,0.618,100,50,20
46,3,56.534,0.667,1.230,162.000,100.000,0.618,100,50,20
47,3,56.534,0.667,1.230,162.000,100.000,0.618,100,50,20
48,3,56.534,0.667,1.230,162.000,100.000,0.618,100,50,20
49,3,56.534,0.667,1.230,162.000,100.000,0.618,100,50,20
50,3,56.534,0.667,1.231,162.000,100.000,0.618,100,50,20
51,3,56.534,0.667,1.231,162.000,100.000,0.618,100,50,20
52,3,55.983,0.667,1.232,162.000,100.000,0.618,100,50,20
53,3,55.983,0.667,1.232,162.000,100.000,0.618,100,50,20
54,3,55.983,0.667,1.232,162.000,100.000,0.618,100,50,20
55,3,55.983,0.667,1.233,162.000,100.000,0.618,100,50,20
56,3,55.983,0.667,1.233,162.000,100.000,0.618,100,50,20
57,3,55.983,0.667,1.233,162.000,100.000,0.618,100,50,20
58,3,55.983,0.667,1.234,162.000,100.000,0.618,100,50,20
59,3,55.958,0.667,1.234,162.000,100.000,0.618,100,50,20
60,3,55.958,0.667,1.234,162.000,100.000,0.618,100,50,20
61,3,55.950,0.667,1.235,162.000,100.000,0.618,100,50,20
62,3,55.950,0.667,1.235,162.000,100.000,0.618,100,50,20
63,3,55.950,0.667,1.235,162.000,100.000,0.618,100,50,20
64,3,55.911,0.667,1.236,162.000,100.000,0.618,100,50,20
65,3,55.911,0.667,1.236,162.000,100.000,0.618,100,50,20
66,3,55.911,0.667,1.236,162.000,100.000,0.618,100,50,20
67,3,55.911,0.667,1.237,162.000,100.000,0.618,100,50,20
68,3,55.903,0.667,1.237,162.000,100.000,0.618,100,50,20
69,3,55.889,0.667,1.237,162.000,100.000,0.618,100,50,20
70,3,55.889,0.667,1.238,162.000,100.000,0.618,100,50,20
71,3,55.889,0.667,1.238,162.000,100.000,0.618,100,50,20
72,3,55.889,0.667,1.238,162.000,100.000,0.618,100,50,20
73,3,55.889,0.667,1.239,162.000,100.000,0.618,100,50,20
74,3,55.889,0.667,1.239,162.000,100.000,0.618,100,50,20
75,3,55.889,0.667,1.239,162.000,100.000,0.618,100,50,20
76,3,55.781,0.667,1.240,162.000,100.000,0.618,100,50,20
77,3,55.778,0.667,1.240,162.000,100.000,0.618,100,50,20
78,3,55.778,0.667,1.240,162.000,100.000,0.618,100,50,20
79,3,55.777,0.667,1.241,162.000,100.000,0.618,100,50,20
80,3,55.777,0.667,1.241,162.000,100.000,0.618,100,50,20
81,3,55.777,0.667,1.241,162.000,100.000,0.618,100,50,20
82,3,55.777,0.667,1.242,162.000,100.000,0.618,100,50,20
83,3,55.776,0.667,1.242,162.000,100.000,0.618,100,50,20
84,3,55.776,0.667,1.242,162.000,100.000,0.618,100,50,20
85,3,55.776,0.667,1.243,162.000,100.000,0.618,100,50,20
86,3,55.776,0.667,1.243,162.000,100.000,0.618,100,50,20
87,3,54.402,0.667,1.243,162.000,100.000,0.618,100,50,20
88,3,54.402,0.667,1.244,162.000,100.000,0.618,100,50,20
89,3,54.402,0.667,1.244,162.000,100.000,0.618,100,50,20
90,3,54.402,0.667,1.244,162.000,100.000,0.618,100,50,20
91,3,54.402,0.667,1.245,162.000,100.000,0.618,100,50,20
92,3,54.402,0.667,1.245,162.000,100.000,0.618,100,50,20
93,3,54.402,0.667,1.245,162.000,100.000,0.618,100,50,20
94,3,54.402,0.667,1.246,162.000,100.000,0.618,100,50,20
95,3,54.402,0.667,1.246,162.000,100.000,0.618,100,50,20
96,3,54.402,0.667,1.246,162.000,100.000,0.618,100,50,20
97,3,54.402,0.667,1.247,162.000,100.000,0.618,100,50,20
98,3,54.402,0.667,1.247,162.000,100.000,0.618,100,50,20
99,3,54.401,0.667,1.250,162.000,100.000,0.618,100,50,20
100,3,54.401,0.667,1.250,162.000,100.000,0.618,100,50,20
1,7,59.141,0.667,0.001,162.000,100.000,0.618,200,75,50
2,7,59.141,0.667,0.002,162.000,100.000,0.618,200,75,50
3,7,58.865,0.667,0.004,162.000,100.000,0.618,200,75,50
4,7,58.865,0.667,0.219,162.000,100.000,0.618,200,75,50
5,7,58.865,0.667,0.302,162.000,100.000,0.618,200,75,50
6,7,58.865,0.667,0.506,162.000,100.000,0.618,200,75,50
7,7,58.865,0.667,0.586,162.000,100.000,0.618,200,75,50
8,7,58.797,0.667,0.689,162.000,100.000,0.618,200,75,50
9,7,58.797,0.667,0.742,162.000,100.000,0.618,200,75,50
10,7,58.797,0.667,0.752,162.000,100.000,0.618,200,75,50
11,7,58.797,0.667,0.816,162.000,100.000,0.618,200,75,50
12,7,58.666,0.667,0.879,162.000,100.000,0.618,200,75,50
13,7,58.666,0.667,0.880,162.000,100.000,0.618,200,75,50
14,7,58.051,0.667,0.881,162.000,100.000,0.618,200,75,50
15,7,58.051,0.667,0.881,162.000,100.000,0.618,200,75,50
16,7,58.051,0.667,0.882,162.000,100.000,0.618,200,75,50
17,7,58.051,0.667,0.882,162.000,100.000,0.618,200,75,50
18,7,58.051,0.667,0.883,162.000,100.000,0.618,200,75,50
19,7,58.051,0.667,0.883,162.000,100.000,0.618,200,75,50
20,7,57.991,0.667,0.884,162.000,100.000,0.618,200,75,50
21,7,57.991,0.667,0.884,162.000,100.000,0.618,200,75,50
22,7,57.991,0.667,0.885,162.000,100.000,0.618,200,75,50
23,7,57.991,0.667,0.885,162.000,100.000,0.618,200,75,50
24,7,57.991,0.667,0.886,162.000,100.000,0.618,200,75,50
25,7,57.991,0.667,0.886,162.000,100.000,0.618,200,75,50
26,7,57.991,0.667,0.887,162.000,100.000,0.618,200,75,50
27,7,57.990,0.667,0.887,162.000,100.000,0.618,200,75,50
28,7,57.990,0.667,0.888,162.000,100.000,0.618,200,75,50
29,7,57.990,0.667,0.888,162.000,100.000,0.618,200,75,50
30,7,57.990,0.667,0.889,162.000,100.000,0.618,200,75,50
31,7,57.990,0.667,0.889,162.000,100.000,0.618,200,75,50
32,7,57.990,0.667,0.890,162.000,100.000,0.618,200,75,50
33,7,57.990,0.667,0.890,162.000,100.000,0.618,200,75,50
34,7,57.990,0.667,0.891,162.000,100.000,0.618,200,75,50
35,7,57.902,0.667,0.891,162.000,100.000,0.618,200,75,50
36,7,57.887,0.667,1.112,162.000,100.000,0.618,200,75,50
37,7,57.887,0.667,1.113,162.000,100.000,0.618,200,75,50
38,7,57.887,0.667,1.113,162.000,100.000,0.618,200,75,50
39,7,57.887,0.667,1.114,162.000,100.000,0.618,200,75,50
40,7,57.829,0.667,1.114,162.000,100.000,0.618,200,75,50
41,7,57.401,0.667,1.115,162.000,100.000,0.618,200,75,50
42,7,57.401,0.667,1.277,162.000,100.000,0.618,200,75,50
43,7,57.395,0.667,1.277,162.000,100.000,0.618,200,75,50
44,7,57.384,0.667,1.278,162.000,100.000,0.618,200,75,50
45,7,57.384,0.667,1.278,162.000,100.000,0.618,200,75,50
46,7,57.384,0.667,1.278,162.000,100.000,0.618,200,75,50
47,7,57.384,0.667,1.279,162.000,100.000,0.618,200,75,50
48,7,57.196,0.667,1.279,162.000,100.000,0.618,200,75,50
49,7,57.196,0.667,1.279,162.000,100.000,0.618,200,75,50
50,7,57.196,0.667,1.280,162.000,100.000,0.618,200,75,50
51,7,57.196,0.667,1.280,162.000,100.000,0.618,200,75,50
52,7,57.196,0.667,1.280,162.000,100.000,0.618,200,75,50
53,7,57.180,0.667,1.280,162.000,100.000,0.618,200,75,50
54,7,57.163,0.667,1.281,162.000,100.000,0.618,200,75,50
55,7,57.163,0.667,1.281,162.000,100.000,0.618,200,75,50
56,7,57.163,0.667,1.282,162.000,100.000,0.618,200,75,50
57,7,57.163,0.667,1.282,162.000,100.000,0.618,200,75,50
58,7,57.163,0.667,1.282,162.000,100.000,0.618,200,75,50
59,7,57.051,0.667,1.282,162.000,100.000,0.618,200,75,50
60,7,57.051,0.667,1.283,162.000,100.000,0.618,200,75,50
61,7,57.051,0.667,1.283,162.000,100.000,0.618,200,75,50
62,7,57.051,0.667,1.284,162.000,100.000,0.618,200,75,50
63,7,56.514,0.667,1.284,162.000,100.000,0.618,200,75,50
64,7,56.514,0.667,1.284,162.000,100.000,0.618,200,75,50
65,7,56.514,0.667,1.284,162.000,100.000,0.618,200,75,50
66,7,56.514,0.667,1.285,162.000,100.000,0.618,200,75,50
67,7,56.514,0.667,1.285,162.000,100.000,0.618,200,75,50
68,7,56.514,0.667,1.285,162.000,100.000,0.618,200,75,50
69,7,56.514,0.667,1.286,162.000,100.000,0.618,200,75,50
70,7,56.514,0.667,1.286,162.000,100.000,0.618,200,75,50
71,7,56.514,0.667,1.286,162.000,100.000,0.618,200,75,50
72,7,56.514,0.667,1.287,162.000,100.000,0.618,200,75,50
73,7,56.514,0.667,1.287,162.000,100.000,0.618,200,75,50
74,7,56.514,0.667,1.287,162.000,100.000,0.618,200,75,50
75,7,56.514,0.667,1.288,162.000,100.000,0.618,200,75,50
76,7,56.512,0.667,1.288,162.000,100.000,0.618,200,75,50
77,7,56.340,0.667,1.288,162.000,100.000,0.618,200,75,50
78,7,56.340,0.667,1.289,162.000,100.000,0.618,200,75,50
79,7,55.928,0.667,1.289,162.000,100.000,0.618,200,75,50
80,7,55.928,0.667,1.289,162.000,100.000,0.618,200,75,50
81,7,55.928,0.667,1.290,162.000,100.000,0.618,200,75,50
82,7,55.928,0.667,1.410,162.000,100.000,0.618,200,75,50
83,7,55.928,0.667,1.411,162.000,100.000,0.618,200,75,50
84,7,55.928,0.667,1.411,162.000,100.000,0.618,200,75,50
85,7,55.928,0.667,1.411,162.000,100.000,0.618,200,75,50
86,7,55.928,0.667,1.412,162.000,100.000,0.618,200,75,50
87,7,55.928,0.667,1.412,162.000,100.000,0.618,200,75,50
88,7,55.928,0.667,1.412,162.000,100.000,0.618,200,75,50
89,7,55.928,0.667,1.413,162.000,100.000,0.618,200,75,50
90,7,55.928,0.667,1.413,162.000,100.000,0.618,200,75,50
91,7,55.928,0.667,1.413,162.000,100.000,0.618,200,75,50
92,7,55.928,0.667,1.414,162.000,100.000,0.618,200,75,50
93,7,55.928,0.667,1.414,162.000,100.000,0.618,200,75,50
94,7,55.928,0.667,1.414,162.000,100.000,0.618,200,75,50
95,7,55.928,0.667,1.415,162.000,100.000,0.618,200,75,50
96,7,55.928,0.667,1.415,162.000,100.000,0.618,200,75,50
97,7,55.928,0.667,1.415,162.000,100.000,0.618,200,75,50
98,7,55.928,0.667,1.416,162.000,100.000,0.618,200,75,50
99,7,55.928,0.667,1.416,162.000,100.000,0.618,200,75,50
100,7,55.928,0.667,1.416,162.000,100.000,0.618,200,75,50
1,8,69.813,0.487,0.009,130.000,132.000,0.496,200,125,60
2,8,69.813,0.487,0.013,130.000,132.000,0.496,200,125,60
3,8,69.813,0.487,0.015,130.000,132.000,0.496,200,125,60
4,8,69.726,0.485,0.101,127.000,135.000,0.485,200,125,60
5,8,69.726,0.485,0.201,127.000,135.000,0.485,200,125,60
6,8,68.085,0.515,0.265,129.000,133.000,0.492,200,125,60
7,8,68.085,0.515,0.376,129.000,133.000,0.492,200,125,60
8,8,68.037,0.515,0.481,130.000,132.000,0.496,200,125,60
9,8,68.037,0.515,0.597,130.000,132.000,0.496,200,125,60
10,8,68.019,0.515,0.726,130.000,132.000,0.496,200,125,60
11,8,68.019,0.515,0.726,130.000,132.000,0.496,200,125,60
12,8,68.019,0.515,0.727,130.000,132.000,0.496,200,125,60
13,8,64.069,0.584,0.728,146.000,116.000,0.557,200,125,60
14,8,64.069,0.584,0.796,146.000,116.000,0.557,200,125,60
15,8,64.069,0.584,0.797,146.000,116.000,0.557,200,125,60
16,8,64.069,0.584,0.797,146.000,116.000,0.557,200,125,60
17,8,64.069,0.584,0.798,146.000,116.000,0.557,200,125,60
18,8,62.183,0.607,0.798,154.000,108.000,0.588,200,125,60
19,8,61.748,0.621,0.799,160.000,102.000,0.611,200,125,60
20,8,61.684,0.623,0.900,160.000,102.000,0.611,200,125,60
21,8,61.684,0.623,0.900,160.000,102.000,0.611,200,125,60
22,8,61.684,0.623,0.901,160.000,102.000,0.611,200,125,60
23,8,61.684,0.623,0.901,160.000,102.000,0.611,200,125,60
24,8,57.763,0.663,0.902,162.000,100.000,0.618,200,125,60
25,8,57.763,0.663,0.902,162.000,100.000,0.618,200,125,60
26,8,57.242,0.665,0.903,162.000,100.000,0.618,200,125,60
27,8,57.214,0.667,0.903,162.000,100.000,0.618,200,125,60
28,8,56.334,0.673,0.904,163.000,99.000,0.622,200,125,60
29,8,56.334,0.673,0.904,163.000,99.000,0.622,200,125,60
30,8,56.334,0.673,0.905,163.000,99.000,0.622,200,125,60
31,8,56.334,0.673,0.905,163.000,99.000,0.622,200,125,60
32,8,56.042,0.673,0.907,163.000,99.000,0.622,200,125,60
33,8,55.737,0.665,0.907,159.000,103.000,0.607,200,125,60
34,8,55.734,0.665,0.908,159.000,103.000,0.607,200,125,60
35,8,55.734,0.665,1.075,159.000,103.000,0.607,200,125,60
36,8,55.734,0.665,1.076,159.000,103.000,0.607,200,125,60
37,8,55.729,0.665,1.076,162.000,100.000,0.618,200,125,60
38,8,55.729,0.665,1.077,162.000,100.000,0.618,200,125,60
39,8,55.729,0.665,1.078,162.000,100.000,0.618,200,125,60
40,8,54.769,0.665,1.078,162.000,100.000,0.618,200,125,60
41,8,54.769,0.665,1.079,162.000,100.000,0.618,200,125,60
42,8,54.769,0.665,1.079,162.000,100.000,0.618,200,125,60
43,8,54.769,0.665,1.079,162.000,100.000,0.618,200,125,60
44,8,54.769,0.665,1.080,162.000,100.000,0.618,200,125,60
45,8,54.769,0.665,1.080,162.000,100.000,0.618,200,125,60
46,8,54.534,0.645,1.080,156.000,106.000,0.595,200,125,60
47,8,54.531,0.645,1.080,156.000,106.000,0.595,200,125,60
48,8,54.491,0.651,1.081,156.000,106.000,0.595,200,125,60
49,8,54.491,0.651,1.081,156.000,106.000,0.595,200,125,60
50,8,54.405,0.659,1.081,154.000,108.000,0.588,200,125,60
51,8,54.405,0.659,1.082,154.000,108.000,0.588,200,125,60
52,8,54.405,0.659,1.082,154.000,108.000,0.588,200,125,60
53,8,54.193,0.659,1.082,154.000,108.000,0.588,200,125,60
54,8,54.193,0.659,1.083,154.000,108.000,0.588,200,125,60
55,8,54.193,0.659,1.084,154.000,108.000,0.588,200,125,60
56,8,54.193,0.659,1.085,154.000,108.000,0.588,200,125,60
57,8,54.193,0.659,1.085,154.000,108.000,0.588,200,125,60
58,8,54.180,0.659,1.085,154.000,108.000,0.588,200,125,60
59,8,54.180,0.659,1.086,154.000,108.000,0.588,200,125,60
60,8,54.180,0.659,1.086,154.000,108.000,0.588,200,125,60
61,8,54.180,0.659,1.086,154.000,108.000,0.588,200,125,60
62,8,54.180,0.659,1.086,154.000,108.000,0.588,200,125,60
63,8,54.180,0.659,1.087,154.000,108.000,0.588,200,125,60
64,8,54.180,0.659,1.087,154.000,108.000,0.588,200,125,60
65,8,54.180,0.659,1.087,154.000,108.000,0.588,200,125,60
66,8,54.180,0.659,1.088,154.000,108.000,0.588,200,125,60
67,8,54.180,0.659,1.088,154.000,108.000,0.588,200,125,60
68,8,54.180,0.659,1.088,154.000,108.000,0.588,200,125,60
69,8,54.180,0.659,1.089,154.000,108.000,0.588,200,125,60
70,8,54.180,0.659,1.089,154.000,108.000,0.588,200,125,60
71,8,54.116,0.659,1.089,154.000,108.000,0.588,200,125,60
