a,b,c,d,e,f,g,h,i,j,k
82,5,52.742,0.679,1.431,155.000,107.000,0.592,100,50,20
83,5,52.714,0.679,1.431,155.000,107.000,0.592,100,50,20
84,5,52.714,0.679,1.431,155.000,107.000,0.592,100,50,20
85,5,52.714,0.679,1.432,155.000,107.000,0.592,100,50,20
86,5,52.714,0.679,1.432,155.000,107.000,0.592,100,50,20
87,5,52.714,0.679,1.432,155.000,107.000,0.592,100,50,20
88,5,52.714,0.679,1.433,155.000,107.000,0.592,100,50,20
89,5,52.714,0.679,1.433,155.000,107.000,0.592,100,50,20
90,5,52.714,0.679,1.433,155.000,107.000,0.592,100,50,20
91,5,52.714,0.679,1.434,155.000,107.000,0.592,100,50,20
92,5,52.714,0.679,1.434,155.000,107.000,0.592,100,50,20
93,5,52.714,0.679,1.434,155.000,107.000,0.592,100,50,20
94,5,52.714,0.679,1.435,155.000,107.000,0.592,100,50,20
95,5,52.714,0.679,1.435,155.000,107.000,0.592,100,50,20
96,5,52.714,0.679,1.435,155.000,107.000,0.592,100,50,20
97,5,52.714,0.679,1.436,155.000,107.000,0.592,100,50,20
98,5,52.714,0.679,1.437,155.000,107.000,0.592,100,50,20
99,5,52.402,0.680,1.437,157.000,105.000,0.599,100,50,20
100,5,52.402,0.680,1.437,157.000,105.000,0.599,100,50,20
1,9,63.511,0.505,0.167,145.000,117.000,0.553,100,25,10
2,9,63.511,0.505,0.168,145.000,117.000,0.553,100,25,10
3,9,63.511,0.505,0.339,145.000,117.000,0.553,100,25,10
4,9,63.511,0.505,0.405,145.000,117.000,0.553,100,25,10
5,9,63.511,0.505,0.460,145.000,117.000,0.553,100,25,10
6,9,63.511,0.505,0.590,145.000,117.000,0.553,100,25,10
7,9,63.511,0.505,0.714,145.000,117.000,0.553,100,25,10
8,9,63.511,0.505,0.830,145.000,117.000,0.553,100,25,10
9,9,60.245,0.661,0.871,157.000,105.000,0.599,100,25,10
10,9,59.822,0.663,0.872,157.000,105.000,0.599,100,25,10
11,9,59.822,0.663,0.947,157.000,105.000,0.599,100,25,10
12,9,59.822,0.663,0.947,157.000,105.000,0.599,100,25,10
13,9,59.822,0.663,0.948,157.000,105.000,0.599,100,25,10
14,9,59.822,0.663,0.948,157.000,105.000,0.599,100,25,10
15,9,59.822,0.663,0.949,157.000,105.000,0.599,100,25,10
16,9,59.822,0.663,0.949,157.000,105.000,0.599,100,25,10
17,9,59.822,0.663,0.950,157.000,105.000,0.599,100,25,10
18,9,59.822,0.663,1.073,157.000,105.000,0.599,100,25,10
19,9,59.822,0.663,1.073,157.000,105.000,0.599,100,25,10
20,9,59.822,0.663,1.074,157.000,105.000,0.599,100,25,10
21,9,59.822,0.663,1.074,157.000,105.000,0.599,100,25,10
22,9,58.939,0.663,1.075,157.000,105.000,0.599,100,25,10
23,9,58.939,0.663,1.075,157.000,105.000,0.599,100,25,10
24,9,58.939,0.663,1.076,157.000,105.000,0.599,100,25,10
25,9,58.939,0.663,1.076,157.000,105.000,0.599,100,25,10
26,9,58.939,0.663,1.077,157.000,105.000,0.599,100,25,10
27,9,58.328,0.657,1.077,158.000,104.000,0.603,100,25,10
28,9,58.314,0.659,1.078,157.000,105.000,0.599,100,25,10
29,9,58.314,0.659,1.252,157.000,105.000,0.599,100,25,10
30,9,58.314,0.659,1.252,157.000,105.000,0.599,100,25,10
31,9,58.306,0.659,1.253,157.000,105.000,0.599,100,25,10
32,9,58.306,0.659,1.253,157.000,105.000,0.599,100,25,10
33,9,58.304,0.659,1.254,157.000,105.000,0.599,100,25,10
34,9,58.286,0.659,1.254,157.000,105.000,0.599,100,25,10
35,9,58.286,0.659,1.255,157.000,105.000,0.599,100,25,10
36,9,58.284,0.657,1.255,157.000,105.000,0.599,100,25,10
37,9,58.284,0.657,1.256,157.000,105.000,0.599,100,25,10
38,9,58.284,0.657,1.256,157.000,105.000,0.599,100,25,10
39,9,58.154,0.659,1.257,157.000,105.000,0.599,100,25,10
40,9,58.154,0.659,1.257,157.000,105.000,0.599,100,25,10
41,9,58.154,0.659,1.258,157.000,105.000,0.599,100,25,10
42,9,58.154,0.659,1.258,157.000,105.000,0.599,100,25,10
43,9,58.154,0.659,1.259,157.000,105.000,0.599,100,25,10
44,9,58.154,0.659,1.259,157.000,105.000,0.599,100,25,10
45,9,58.154,0.659,1.259,157.000,105.000,0.599,100,25,10
46,9,58.154,0.659,1.260,157.000,105.000,0.599,100,25,10
47,9,58.154,0.659,1.260,157.000,105.000,0.599,100,25,10
48,9,58.154,0.659,1.260,157.000,105.000,0.599,100,25,10
49,9,58.154,0.659,1.261,157.000,105.000,0.599,100,25,10
50,9,58.154,0.659,1.261,157.000,105.000,0.599,100,25,10
51,9,58.151,0.659,1.261,157.000,105.000,0.599,100,25,10
52,9,58.151,0.659,1.262,157.000,105.000,0.599,100,25,10
53,9,57.820,0.659,1.262,157.000,105.000,0.599,100,25,10
54,9,57.820,0.659,1.262,157.000,105.000,0.599,100,25,10
55,9,56.987,0.665,1.263,158.000,104.000,0.603,100,25,10
56,9,56.162,0.665,1.263,158.000,104.000,0.603,100,25,10
57,9,56.162,0.665,1.264,158.000,104.000,0.603,100,25,10
58,9,55.822,0.667,1.264,161.000,101.000,0.615,100,25,10
59,9,55.822,0.667,1.265,161.000,101.000,0.615,100,25,10
60,9,55.822,0.667,1.265,161.000,101.000,0.615,100,25,10
61,9,55.822,0.667,1.265,161.000,101.000,0.615,100,25,10
62,9,55.822,0.667,1.439,161.000,101.000,0.615,100,25,10
63,9,55.822,0.667,1.439,161.000,101.000,0.615,100,25,10
64,9,55.820,0.667,1.440,161.000,101.000,0.615,100,25,10
65,9,55.649,0.667,1.440,161.000,101.000,0.615,100,25,10
66,9,55.649,0.667,1.440,161.000,101.000,0.615,100,25,10
67,9,55.072,0.667,1.441,161.000,101.000,0.615,100,25,10
68,9,55.072,0.667,1.539,161.000,101.000,0.615,100,25,10
69,9,55.072,0.667,1.539,161.000,101.000,0.615,100,25,10
70,9,55.071,0.667,1.540,161.000,101.000,0.615,100,25,10
71,9,55.071,0.667,1.540,161.000,101.000,0.615,100,25,10
72,9,55.071,0.667,1.540,161.000,101.000,0.615,100,25,10
73,9,55.070,0.667,1.541,161.000,101.000,0.615,100,25,10
74,9,54.919,0.667,1.541,161.000,101.000,0.615,100,25,10
75,9,54.913,0.667,1.541,161.000,101.000,0.615,100,25,10
76,9,54.913,0.667,1.542,161.000,101.000,0.615,100,25,10
77,9,54.913,0.667,1.542,161.000,101.000,0.615,100,25,10
78,9,54.913,0.667,1.542,161.000,101.000,0.615,100,25,10
79,9,54.913,0.667,1.543,161.000,101.000,0.615,100,25,10
80,9,54.766,0.667,1.543,161.000,101.000,0.615,100,25,10
81,9,54.766,0.667,1.543,161.000,101.000,0.615,100,25,10
82,9,54.766,0.667,1.544,161.000,101.000,0.615,100,25,10
83,9,54.766,0.667,1.544,161.000,101.000,0.615,100,25,10
84,9,54.766,0.667,1.544,161.000,101.000,0.615,100,25,10
85,9,54.766,0.667,1.545,161.000,101.000,0.615,100,25,10
86,9,54.766,0.667,1.545,161.000,101.000,0.615,100,25,10
87,9,54.766,0.667,1.545,161.000,101.000,0.615,100,25,10
88,9,54.419,0.667,1.546,161.000,101.000,0.615,100,25,10
89,9,54.372,0.667,1.548,161.000,101.000,0.615,100,25,10
90,9,54.372,0.667,1.548,161.000,101.000,0.615,100,25,10
91,9,54.372,0.667,1.548,161.000,101.000,0.615,100,25,10
92,9,54.372,0.667,1.549,161.000,101.000,0.615,100,25,10
93,9,54.372,0.667,1.549,161.000,101.000,0.615,100,25,10
94,9,54.372,0.667,1.549,161.000,101.000,0.615,100,25,10
95,9,54.372,0.667,1.549,161.000,101.000,0.615,100,25,10
96,9,54.372,0.667,1.550,161.000,101.000,0.615,100,25,10
97,9,54.372,0.667,1.551,161.000,101.000,0.615,100,25,10
98,9,54.372,0.667,1.551,161.000,101.000,0.615,100,25,10
99,9,54.264,0.667,1.552,161.000,101.000,0.615,100,25,10
100,9,54.261,0.667,1.552,161.000,101.000,0.615,100,25,10
1,7,73.372,0.511,0.001,144.000,118.000,0.550,500,150,100
2,7,73.372,0.511,0.173,144.000,118.000,0.550,500,150,100
3,7,69.952,0.535,0.175,140.000,122.000,0.534,500,150,100
4,7,69.952,0.535,0.338,140.000,122.000,0.534,500,150,100
5,7,69.776,0.535,0.466,140.000,122.000,0.534,500,150,100
6,7,68.577,0.544,0.470,141.000,121.000,0.538,500,150,100
7,7,68.577,0.544,0.534,141.000,121.000,0.538,500,150,100
8,7,67.288,0.544,0.619,141.000,121.000,0.538,500,150,100
9,7,63.901,0.594,0.697,148.000,114.000,0.565,500,150,100
10,7,60.162,0.659,0.843,157.000,105.000,0.599,500,150,100
11,7,60.162,0.659,0.913,157.000,105.000,0.599,500,150,100
12,7,60.162,0.659,0.914,157.000,105.000,0.599,500,150,100
13,7,60.162,0.659,0.914,157.000,105.000,0.599,500,150,100
14,7,60.162,0.659,0.915,157.000,105.000,0.599,500,150,100
15,7,60.162,0.659,0.957,157.000,105.000,0.599,500,150,100
16,7,60.162,0.659,0.958,157.000,105.000,0.599,500,150,100
17,7,60.066,0.659,0.958,157.000,105.000,0.599,500,150,100
18,7,60.066,0.659,0.959,157.000,105.000,0.599,500,150,100
19,7,58.246,0.663,0.959,157.000,105.000,0.599,500,150,100
20,7,58.246,0.663,0.960,157.000,105.000,0.599,500,150,100
21,7,58.246,0.663,0.960,157.000,105.000,0.599,500,150,100
22,7,58.246,0.663,1.290,157.000,105.000,0.599,500,150,100
23,7,58.246,0.663,1.291,157.000,105.000,0.599,500,150,100
24,7,58.246,0.663,1.291,157.000,105.000,0.599,500,150,100
25,7,58.246,0.663,1.292,157.000,105.000,0.599,500,150,100
26,7,58.246,0.663,1.292,157.000,105.000,0.599,500,150,100
27,7,58.246,0.663,1.293,157.000,105.000,0.599,500,150,100
28,7,58.246,0.663,1.378,157.000,105.000,0.599,500,150,100
29,7,58.246,0.663,1.378,157.000,105.000,0.599,500,150,100
30,7,58.246,0.663,1.379,157.000,105.000,0.599,500,150,100
31,7,58.246,0.663,1.379,157.000,105.000,0.599,500,150,100
32,7,58.244,0.663,1.380,157.000,105.000,0.599,500,150,100
33,7,58.140,0.663,1.380,157.000,105.000,0.599,500,150,100
34,7,58.140,0.663,1.381,157.000,105.000,0.599,500,150,100
35,7,58.137,0.663,1.381,157.000,105.000,0.599,500,150,100
36,7,58.099,0.663,1.744,157.000,105.000,0.599,500,150,100
37,7,58.099,0.663,1.744,157.000,105.000,0.599,500,150,100
38,7,58.099,0.663,1.745,157.000,105.000,0.599,500,150,100
39,7,58.099,0.663,1.745,157.000,105.000,0.599,500,150,100
40,7,58.099,0.663,1.746,157.000,105.000,0.599,500,150,100
41,7,58.099,0.663,1.746,157.000,105.000,0.599,500,150,100
42,7,58.099,0.663,1.747,157.000,105.000,0.599,500,150,100
43,7,58.099,0.663,1.748,157.000,105.000,0.599,500,150,100
44,7,57.359,0.665,1.748,162.000,100.000,0.618,500,150,100
45,7,57.359,0.665,1.748,162.000,100.000,0.618,500,150,100
46,7,57.359,0.665,1.749,162.000,100.000,0.618,500,150,100
47,7,57.359,0.665,1.749,162.000,100.000,0.618,500,150,100
48,7,57.359,0.665,1.749,162.000,100.000,0.618,500,150,100
49,7,57.359,0.665,1.749,162.000,100.000,0.618,500,150,100
50,7,57.359,0.665,1.751,162.000,100.000,0.618,500,150,100
51,7,57.359,0.665,1.752,162.000,100.000,0.618,500,150,100
52,7,57.359,0.665,1.752,162.000,100.000,0.618,500,150,100
53,7,57.359,0.665,1.752,162.000,100.000,0.618,500,150,100
54,7,55.334,0.665,1.753,162.000,100.000,0.618,500,150,100
55,7,55.334,0.665,1.753,162.000,100.000,0.618,500,150,100
56,7,54.614,0.665,1.753,162.000,100.000,0.618,500,150,100
57,7,54.573,0.665,1.753,162.000,100.000,0.618,500,150,100
58,7,54.573,0.665,1.754,162.000,100.000,0.618,500,150,100
59,7,54.573,0.665,1.755,162.000,100.000,0.618,500,150,100
60,7,54.573,0.665,1.755,162.000,100.000,0.618,500,150,100
61,7,54.553,0.665,1.755,162.000,100.000,0.618,500,150,100
62,7,54.553,0.665,1.755,162.000,100.000,0.618,500,150,100
63,7,54.553,0.665,1.756,162.000,100.000,0.618,500,150,100
64,7,54.553,0.665,1.756,162.000,100.000,0.618,500,150,100
65,7,54.553,0.665,1.756,162.000,100.000,0.618,500,150,100
66,7,54.553,0.665,1.757,162.000,100.000,0.618,500,150,100
67,7,54.513,0.665,1.757,162.000,100.000,0.618,500,150,100
68,7,54.513,0.665,1.757,162.000,100.000,0.618,500,150,100
69,7,54.513,0.665,1.758,162.000,100.000,0.618,500,150,100
70,7,53.940,0.667,1.758,162.000,100.000,0.618,500,150,100
71,7,53.940,0.667,1.758,162.000,100.000,0.618,500,150,100
72,7,53.940,0.667,1.759,162.000,100.000,0.618,500,150,100
73,7,53.940,0.667,1.759,162.000,100.000,0.618,500,150,100
74,7,53.940,0.667,1.759,162.000,100.000,0.618,500,150,100
75,7,53.940,0.667,1.760,162.000,100.000,0.618,500,150,100
76,7,53.940,0.667,1.760,162.000,100.000,0.618,500,150,100
77,7,53.940,0.667,1.760,162.000,100.000,0.618,500,150,100
78,7,53.934,0.667,1.761,162.000,100.000,0.618,500,150,100
79,7,53.934,0.667,1.761,162.000,100.000,0.618,500,150,100
80,7,53.934,0.667,1.761,162.000,100.000,0.618,500,150,100
81,7,53.778,0.667,1.762,162.000,100.000,0.618,500,150,100
82,7,53.778,0.667,1.762,162.000,100.000,0.618,500,150,100
83,7,53.778,0.667,1.762,162.000,100.000,0.618,500,150,100
84,7,53.778,0.667,1.763,162.000,100.000,0.618,500,150,100
85,7,53.778,0.667,1.763,162.000,100.000,0.618,500,150,100
86,7,53.778,0.667,1.764,162.000,100.000,0.618,500,150,100
87,7,53.778,0.667,1.764,162.000,100.000,0.618,500,150,100
88,7,53.778,0.667,1.764,162.000,100.000,0.618,500,150,100
89,7,53.778,0.667,1.765,162.000,100.000,0.618,500,150,100
90,7,53.652,0.667,1.765,162.000,100.000,0.618,500,150,100
91,7,53.652,0.667,1.765,162.000,100.000,0.618,500,150,100
92,7,53.652,0.667,1.766,162.000,100.000,0.618,500,150,100
93,7,53.652,0.667,1.766,162.000,100.000,0.618,500,150,100
94,7,53.652,0.667,1.766,162.000,100.000,0.618,500,150,100
95,7,53.652,0.667,1.767,162.000,100.000,0.618,500,150,100
96,7,53.652,0.667,1.767,162.000,100.000,0.618,500,150,100
97,7,53.652,0.667,1.767,162.000,100.000,0.618,500,150,100
98,7,53.652,0.667,1.768,162.000,100.000,0.618,500,150,100
99,7,53.652,0.667,1.768,162.000,100.000,0.618,500,150,100
100,7,53.652,0.667,1.768,162.000,100.000,0.618,500,150,100
1,2,74.252,0.426,0.001,119.000,143.000,0.454,500,150,100
2,2,74.252,0.426,0.021,119.000,143.000,0.454,500,150,100
3,2,74.252,0.426,0.055,119.000,143.000,0.454,500,150,100
4,2,74.252,0.426,0.059,119.000,143.000,0.454,500,150,100
5,2,74.252,0.426,0.060,119.000,143.000,0.454,500,150,100
6,2,73.761,0.434,0.061,121.000,141.000,0.462,500,150,100
7,2,71.028,0.345,0.183,106.000,156.000,0.405,500,150,100
8,2,71.017,0.345,0.184,106.000,156.000,0.405,500,150,100
9,2,71.017,0.345,0.377,106.000,156.000,0.405,500,150,100
10,2,71.016,0.345,0.454,106.000,156.000,0.405,500,150,100
11,2,70.925,0.347,0.455,106.000,156.000,0.405,500,150,100
12,2,70.925,0.347,0.455,106.000,156.000,0.405,500,150,100
13,2,70.925,0.347,0.456,106.000,156.000,0.405,500,150,100
14,2,70.925,0.347,0.456,106.000,156.000,0.405,500,150,100
15,2,70.766,0.381,0.457,117.000,145.000,0.447,500,150,100
16,2,70.328,0.391,0.458,110.000,152.000,0.420,500,150,100
17,2,70.084,0.394,0.597,111.000,151.000,0.424,500,150,100
18,2,69.662,0.398,0.598,112.000,150.000,0.427,500,150,100
19,2,68.769,0.398,0.598,112.000,150.000,0.427,500,150,100
20,2,68.769,0.398,0.599,112.000,150.000,0.427,500,150,100
21,2,68.031,0.428,0.600,118.000,144.000,0.450,500,150,100
22,2,68.031,0.428,0.600,118.000,144.000,0.450,500,150,100
23,2,68.031,0.428,0.601,118.000,144.000,0.450,500,150,100
24,2,68.031,0.428,0.601,118.000,144.000,0.450,500,150,100
25,2,68.031,0.428,0.602,118.000,144.000,0.450,500,150,100
26,2,66.676,0.450,0.602,125.000,137.000,0.477,500,150,100
27,2,66.676,0.450,0.603,125.000,137.000,0.477,500,150,100
28,2,66.676,0.450,0.603,125.000,137.000,0.477,500,150,100
