a,b,c,d,e
600,57.0,90.72466133,100.0,50.0
610,57.0,92.571242248,100.0,50.0
620,58.0,94.062246306,100.0,50.0
630,57.0,95.589347617,100.0,50.0
640,57.0,97.307163438,100.0,50.0
650,57.0,98.755536448,100.0,50.0
660,57.0,100.286965738,100.0,50.0
670,57.0,101.652866023,100.0,50.0
680,57.0,103.167081178,100.0,50.0
690,58.0,104.52764747,100.0,50.0
700,58.0,106.268995103,100.0,50.0
710,57.0,108.261484252,100.0,50.0
720,58.0,110.608251226,100.0,50.0
730,58.0,112.111114403,100.0,50.0
740,57.0,113.521742695,100.0,50.0
750,57.0,114.891527362,100.0,50.0
760,59.0,116.264197096,100.0,50.0
770,57.0,117.617488439,100.0,50.0
780,57.0,118.964339916,100.0,50.0
790,57.0,120.25021784,100.0,50.0
800,58.0,121.523949731,100.0,50.0
810,57.0,122.901024433,100.0,50.0
820,57.0,124.227234861,100.0,50.0
830,57.0,125.706859107,100.0,50.0
840,60.0,127.18607653,100.0,50.0
850,60.0,128.567069285,100.0,50.0
860,58.0,130.035872507,100.0,50.0
870,61.0,131.459556662,100.0,50.0
880,61.0,132.773396947,100.0,50.0
890,62.0,134.331620408,100.0,50.0
900,61.0,135.779166818,100.0,50.0
910,62.0,137.378912334,100.0,50.0
920,60.0,139.240681321,100.0,50.0
930,60.0,140.714140411,100.0,50.0
940,60.0,142.018080653,100.0,50.0
950,60.0,143.438377894,100.0,50.0
960,61.0,144.850252772,100.0,50.0
970,61.0,146.237486804,100.0,50.0
980,62.0,147.557105868,100.0,50.0
990,61.0,148.816807167,100.0,50.0
1000,62.0,150.179909784,100.0,50.0
10,227.0,8.846236123,100.0,50.0
20,226.0,10.820436984,100.0,50.0
30,48.0,12.546693224,100.0,50.0
40,53.0,14.252977166,100.0,50.0
50,53.0,15.634333877,100.0,50.0
60,53.0,17.089647098,100.0,50.0
70,54.0,18.417077743,100.0,50.0
80,53.0,19.795519095,100.0,50.0
90,53.0,21.135026807,100.0,50.0
100,52.0,22.458677337,100.0,50.0
110,54.0,23.778573369,100.0,50.0
120,55.0,25.15004176,100.0,50.0
130,52.0,26.452187892,100.0,50.0
140,53.0,27.715909625,100.0,50.0
150,54.0,29.01256199,100.0,50.0
160,54.0,30.511972706,100.0,50.0
170,54.0,31.85142181,100.0,50.0
180,53.0,33.120965472,100.0,50.0
190,53.0,34.454909794,100.0,50.0
200,53.0,35.801473776,100.0,50.0
210,55.0,37.168333085,100.0,50.0
220,54.0,38.526493272,100.0,50.0
230,53.0,39.862478105,100.0,50.0
240,55.0,41.199122695,100.0,50.0
250,54.0,42.382296562,100.0,50.0
260,53.0,43.687476352,100.0,50.0
270,52.0,45.068728195,100.0,50.0
280,53.0,46.431781558,100.0,50.0
290,54.0,47.767139826,100.0,50.0
300,53.0,49.073663196,100.0,50.0
310,54.0,50.39465252,100.0,50.0
320,53.0,51.683632592,100.0,50.0
330,54.0,53.019642724,100.0,50.0
340,53.0,54.311075008,100.0,50.0
350,54.0,55.601923696,100.0,50.0
360,54.0,56.95554823,100.0,50.0
370,54.0,58.433736791,100.0,50.0
380,54.0,59.727275331,100.0,50.0
390,53.0,61.02477542,100.0,50.0
400,54.0,62.35024568,100.0,50.0
410,54.0,63.674292795,100.0,50.0
420,54.0,65.03326048,100.0,50.0
430,55.0,66.380247417,100.0,50.0
440,54.0,67.683141348,100.0,50.0
450,54.0,69.015476645,100.0,50.0
460,55.0,70.310634288,100.0,50.0
470,54.0,71.62688143,100.0,50.0
480,55.0,72.988129464,100.0,50.0
490,55.0,74.390604046,100.0,50.0
500,55.0,75.769044392,100.0,50.0
510,55.0,77.228298914,100.0,50.0
520,54.0,78.995528385,100.0,50.0
530,53.0,80.556213358,100.0,50.0
540,54.0,82.095166902,100.0,50.0
550,53.0,83.742401719,100.0,50.0
560,55.0,85.290764324,100.0,50.0
570,55.0,86.812349488,100.0,50.0
580,55.0,88.29684682,100.0,50.0
590,53.0,89.815646797,100.0,50.0
600,54.0,91.466810119,100.0,50.0
610,54.0,93.134466977,100.0,50.0
620,54.0,94.779975016,100.0,50.0
630,54.0,96.312202427,100.0,50.0
640,55.0,98.002453316,100.0,50.0
650,54.0,99.487088696,100.0,50.0
660,55.0,100.973249195,100.0,50.0
670,54.0,102.502928571,100.0,50.0
680,54.0,103.869096338,100.0,50.0
690,54.0,105.346922422,100.0,50.0
700,56.0,107.301187549,100.0,50.0
710,54.0,109.683622364,100.0,50.0
720,54.0,111.516822884,100.0,50.0
730,54.0,112.886959515,100.0,50.0
740,54.0,114.260915263,100.0,50.0
750,55.0,115.620669234,100.0,50.0
760,53.0,116.926052068,100.0,50.0
770,54.0,118.314494814,100.0,50.0
780,54.0,119.630357965,100.0,50.0
790,54.0,120.958421983,100.0,50.0
800,53.0,122.33296743,100.0,50.0
810,55.0,123.721801872,100.0,50.0
820,54.0,125.201461791,100.0,50.0
830,54.0,126.724990934,100.0,50.0
840,55.0,128.416838535,100.0,50.0
850,54.0,130.024491902,100.0,50.0
860,54.0,131.399677229,100.0,50.0
870,54.0,132.719355496,100.0,50.0
880,54.0,134.271744224,100.0,50.0
890,55.0,135.739350672,100.0,50.0
900,55.0,137.311881218,100.0,50.0
910,54.0,139.067935174,100.0,50.0
920,54.0,140.531319835,100.0,50.0
930,55.0,141.908856327,100.0,50.0
940,54.0,143.326954136,100.0,50.0
950,55.0,144.735471896,100.0,50.0
960,56.0,146.109694932,100.0,50.0
970,54.0,147.433102164,100.0,50.0
980,54.0,148.768833802,100.0,50.0
990,54.0,150.153905651,100.0,50.0
1000,55.0,151.218059973,100.0,50.0
10,227.0,8.745916309,100.0,50.0
20,238.0,10.750662141,100.0,50.0
30,239.0,12.480664355,100.0,50.0
40,239.0,14.146820661,100.0,50.0
50,239.0,15.51731499,100.0,50.0
60,239.0,16.93086441,100.0,50.0
70,239.0,18.293801004,100.0,50.0
80,239.0,19.660954706,100.0,50.0
90,241.0,21.012355162,100.0,50.0
100,241.0,22.35248268,100.0,50.0
110,239.0,23.72248554,100.0,50.0
120,239.0,25.134379245,100.0,50.0
130,239.0,26.469033684,100.0,50.0
140,239.0,27.834173451,100.0,50.0
150,239.0,29.161008096,100.0,50.0
160,238.0,30.465748798,100.0,50.0
170,239.0,31.906168295,100.0,50.0
180,238.0,33.179234844,100.0,50.0
190,239.0,34.549524551,100.0,50.0
200,239.0,35.882103135,100.0,50.0
210,239.0,37.248218985,100.0,50.0
220,238.0,38.610248059,100.0,50.0
230,239.0,39.90151462,100.0,50.0
240,240.0,41.219313743,100.0,50.0
250,239.0,42.409925283,100.0,50.0
260,238.0,43.759406872,100.0,50.0
270,240.0,45.158702402,100.0,50.0
280,242.0,46.504099054,100.0,50.0
290,239.0,47.817146556,100.0,50.0
300,239.0,49.210890659,100.0,50.0
310,241.0,50.573542561,100.0,50.0
320,239.0,51.925175889,100.0,50.0
330,239.0,53.285269207,100.0,50.0
340,239.0,54.603836323,100.0,50.0
350,239.0,55.9946539,100.0,50.0
360,239.0,57.399969228,100.0,50.0
