a,b,c,d,e
600,235.0,102.6368786,100.0,50.0
610,235.0,104.321430717,100.0,50.0
620,234.0,105.829794656,100.0,50.0
630,234.0,107.353486597,100.0,50.0
640,235.0,108.942289829,100.0,50.0
650,235.0,110.523320703,100.0,50.0
660,235.0,111.877198879,100.0,50.0
670,235.0,113.456632933,100.0,50.0
680,234.0,115.081776341,100.0,50.0
690,234.0,116.611512843,100.0,50.0
700,235.0,117.991577268,100.0,50.0
710,235.0,119.469407396,100.0,50.0
720,236.0,121.025016312,100.0,50.0
730,235.0,122.714376973,100.0,50.0
740,235.0,124.532202216,100.0,50.0
750,234.0,126.231669094,100.0,50.0
760,235.0,127.840717863,100.0,50.0
770,234.0,129.549092938,100.0,50.0
780,234.0,130.965688268,100.0,50.0
790,235.0,132.504648212,100.0,50.0
800,235.0,134.136615605,100.0,50.0
810,234.0,135.739709128,100.0,50.0
820,237.0,137.269565673,100.0,50.0
830,234.0,138.802409257,100.0,50.0
840,234.0,140.260441038,100.0,50.0
850,234.0,141.952220204,100.0,50.0
860,235.0,143.289349563,100.0,50.0
870,235.0,144.812333237,100.0,50.0
880,234.0,146.446443248,100.0,50.0
890,234.0,148.143208401,100.0,50.0
900,234.0,149.761803275,100.0,50.0
910,235.0,151.154976689,100.0,50.0
920,234.0,152.755749405,100.0,50.0
930,235.0,154.19404654,100.0,50.0
940,234.0,155.734656688,100.0,50.0
950,235.0,157.479463366,100.0,50.0
960,234.0,158.984220824,100.0,50.0
970,235.0,160.521607676,100.0,50.0
980,235.0,162.129742518,100.0,50.0
990,234.0,163.838412064,100.0,50.0
1000,235.0,165.45545199,100.0,50.0
10,224.0,8.721303365,100.0,50.0
20,223.0,11.58713781,100.0,50.0
30,34.0,13.76416758,100.0,50.0
40,34.0,15.741446114,100.0,50.0
50,37.0,17.393694535,100.0,50.0
60,35.0,18.771692336,100.0,50.0
70,37.0,20.212520553,100.0,50.0
80,34.0,21.706262116,100.0,50.0
90,38.0,23.138355005,100.0,50.0
100,34.0,24.672630982,100.0,50.0
110,34.0,26.335961199,100.0,50.0
120,36.0,28.253661413,100.0,50.0
130,35.0,29.84027712,100.0,50.0
140,42.0,31.612661453,100.0,50.0
150,37.0,33.348907638,100.0,50.0
160,41.0,35.010899354,100.0,50.0
170,39.0,36.484130427,100.0,50.0
180,40.0,37.938535932,100.0,50.0
190,41.0,39.387191238,100.0,50.0
200,40.0,40.974042685,100.0,50.0
210,40.0,42.428502839,100.0,50.0
220,50.0,44.094830364,100.0,50.0
230,38.0,45.727351892,100.0,50.0
240,42.0,47.231333673,100.0,50.0
250,43.0,48.839147494,100.0,50.0
260,38.0,50.629863755,100.0,50.0
270,42.0,52.2363811,100.0,50.0
280,40.0,53.831831168,100.0,50.0
290,41.0,55.525854714,100.0,50.0
300,41.0,57.163983516,100.0,50.0
310,44.0,58.735776075,100.0,50.0
320,42.0,60.38216079,100.0,50.0
330,38.0,62.086859753,100.0,50.0
340,38.0,63.675831662,100.0,50.0
350,38.0,64.907931555,100.0,50.0
360,39.0,66.330278811,100.0,50.0
370,42.0,67.773076668,100.0,50.0
380,42.0,69.209968137,100.0,50.0
390,42.0,70.890219406,100.0,50.0
400,39.0,72.675043074,100.0,50.0
410,41.0,74.177555166,100.0,50.0
420,38.0,75.835315297,100.0,50.0
430,38.0,77.510852089,100.0,50.0
440,39.0,78.869221487,100.0,50.0
450,41.0,80.633512268,100.0,50.0
460,44.0,82.057938451,100.0,50.0
470,42.0,83.243820924,100.0,50.0
480,43.0,84.790212189,100.0,50.0
490,41.0,86.296617942,100.0,50.0
500,38.0,87.833459574,100.0,50.0
510,43.0,89.461496256,100.0,50.0
520,41.0,91.01383707,100.0,50.0
530,40.0,92.640880661,100.0,50.0
540,40.0,94.164963587,100.0,50.0
550,42.0,95.810226388,100.0,50.0
560,41.0,97.282563371,100.0,50.0
570,41.0,98.93886684,100.0,50.0
580,241.0,100.554091661,100.0,50.0
590,43.0,102.019049503,100.0,50.0
600,43.0,103.464104603,100.0,50.0
610,43.0,105.038452318,100.0,50.0
620,44.0,106.605365329,100.0,50.0
630,43.0,108.011067681,100.0,50.0
640,43.0,109.817823492,100.0,50.0
650,43.0,111.303846135,100.0,50.0
660,44.0,112.632442629,100.0,50.0
670,43.0,114.223102852,100.0,50.0
680,43.0,115.7695435,100.0,50.0
690,43.0,117.440360182,100.0,50.0
700,43.0,119.057307175,100.0,50.0
710,43.0,120.557039431,100.0,50.0
720,43.0,121.972806427,100.0,50.0
730,45.0,123.628444496,100.0,50.0
740,43.0,125.350103662,100.0,50.0
750,43.0,126.866780372,100.0,50.0
760,45.0,128.646113198,100.0,50.0
770,42.0,130.24485505,100.0,50.0
780,43.0,131.726584654,100.0,50.0
790,44.0,133.397452893,100.0,50.0
800,222.0,134.981412191,100.0,50.0
810,47.0,136.306415061,100.0,50.0
820,45.0,137.873193224,100.0,50.0
830,45.0,139.452833093,100.0,50.0
840,43.0,140.924919609,100.0,50.0
850,42.0,142.350041068,100.0,50.0
860,46.0,144.089343501,100.0,50.0
870,46.0,145.613405951,100.0,50.0
880,46.0,147.305014535,100.0,50.0
890,42.0,148.781277194,100.0,50.0
900,49.0,150.266177166,100.0,50.0
910,46.0,151.619830835,100.0,50.0
920,42.0,153.329432113,100.0,50.0
930,43.0,154.912600692,100.0,50.0
940,46.0,156.540453446,100.0,50.0
950,43.0,158.158206834,100.0,50.0
960,42.0,159.735297937,100.0,50.0
970,46.0,161.490486419,100.0,50.0
980,48.0,163.145846875,100.0,50.0
990,44.0,164.689401784,100.0,50.0
1000,243.0,166.096716463,100.0,50.0
10,224.0,8.169352727,100.0,50.0
20,228.0,11.442117641,100.0,50.0
30,236.0,13.881452549,100.0,50.0
40,45.0,15.865652734,100.0,50.0
